average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
3.2,Santa Rosa,NorCal Dermatology and Cosmetic,707-527-9517,864 2nd Street,Dermatologist,,
4.6,Santa Rosa,Santa Rosa Dermatology: Anders R Makala MD,707-542-5664,2725 Mendocino Avenue,Dermatologist,,
5,,"Cosmetic & Restorative Dermatology: Marek Lorenc, M.D.",707-578-1800,"2929, 2290 Sacramento Street",Dermatologist,,
5,,"Benjamin Sadoff, MD",925-677-0500,2700 Grant Street Suite 200,General Practitioner,,
5,Napa,"Daneil Hersh, MD",707-251-1850,1100 Trancas Street #209,Gynecologist,,
4.3,Napa,Premier ObGyn Napa,707-666-0547,3030 Beard Road,Gynecologist,,
5,,"Daneil Hersh, MD",707-251-1850,1100 Trancas Street #209,Gynecologist,,
5,,"Nikolajs Lapins, M.D.",650-692-0182,730 Welch Road 1st Floor,Dermatologist,,
5,,Baart Antioch: Quismorio William L MD,925-522-0124,5161 Clayton Road Suite F,General Practitioner,,
4.2,Oakland,Anthony E Jones MD,510-268-1800,17251 Hesperian Boulevard,General Practitioner,,
5,Oakland,"Caroline Schreiber, MD",510-645-9900,3100 Telegraph Avenue # 2109,General Practitioner,,
5,Oakland,Do Anh T MD,714-489-1070,604 East Evelyn Avenue,General Practitioner,,
5,Oakland,"Emily Caro-Bruce, MD",510-225-1013,100 San Pablo Towne Center,General Practitioner,,
4.5,Oakland,"George Lee, MD",510-986-6800,450 Park Street #100B,General Practitioner,,
5,Oakland,George M Martinez Inc,510-763-3005,19682 Hesperian Boulevard #101,General Practitioner,,
3.7,Oakland,Jaime R Cortes Inc,510-532-1070,3351 International Boulevard,General Practitioner,,
5,Oakland,"John Good, MD",510-286-8160,3100 Telegraph Avenue #2102,General Practitioner,,
3.3,Oakland,John Muir Medical Group,510-985-3620,3100 San Pablo Avenue Suite 310,General Practitioner,,
5,Oakland,Lake Gordon a MD,510-419-0230,"3, 2500 Merced Street",General Practitioner,,
4.2,,Anthony E Jones MD,510-268-1800,17251 Hesperian Boulevard,General Practitioner,,
5,Orinda,"Catherine Jiam-Seagren, M.D.",510-204-8166,3850 Grand Avenue,General Practitioner,,
5,,"Catherine Jiam-Seagren, M.D.",510-204-8166,3850 Grand Avenue,General Practitioner,,
5,Mountain View,"Albert Pisani, M.D.",650-934-7520,2490 Hospital Drive #111,Gynecologist,,
3.5,Mountain View,Altos Oaks OB-GYN group - Stanford,650-988-7470,2485 Hospital Drive #330,Gynecologist,,
5,Mountain View,"Amy Teng, DO",650-396-8110,2500 Hospital Drive ste 8a,Gynecologist,,
4.4,Mountain View,"Carol Somersille, MD",650-988-3232,2490 Hospital Drive #300,Gynecologist,,
5,Mountain View,"Dr. Connie T. Tan, MD",650-988-7638,2485 Hospital Drive,Gynecologist,,
4.6,Mountain View,Liu Ken H MD,650-988-7588,2485 Hospital Drive,Gynecologist,,
4.3,,"Amita Kachru, MD",415-641-6996,1580 Valencia Street #508,Gynecologist,,
4,San Mateo,Allura Skin & Laser Center,650-344-1121,280 Baldwin Avenue,Dermatologist,,
4.2,San Mateo,California Skin Institute,650-348-1242,3060 Broadway,Dermatologist,,
5,San Mateo,Schmidt Lucy M MD,650-344-4142,136 North San Mateo Drive 2nd floor,Dermatologist,,
4,,Allura Skin & Laser Center,650-344-1121,280 Baldwin Avenue,Dermatologist,,
5,San Carlos,"Marc H. Levin, MD, PhD.",650-596-4220,1008 Laurel Street,Ophthalmologist,,
3.7,San Carlos,Weil Eye Care Medical Center,650-654-2133,2452 Watson Court,Ophthalmologist,,
5,,"Marc H. Levin, MD, PhD.",650-596-4220,1008 Laurel Street,Ophthalmologist,,
4,,"Dr. Dina T. Nguyen, MD",707-551-3600,329 Tennessee Street,General Practitioner,,
3.6,Gilroy,California Skin Institute,408-847-1257,9460 No Name Uno # 210,Dermatologist,,
5,Gilroy,"Dr. Clayton L. Schiltz, DO",408-713-2600,7888 Wren Avenue A110,Dermatologist,,
3.6,,California Skin Institute,408-847-1257,9460 No Name Uno # 210,Dermatologist,,
5,Berkeley,Dotz Warren Dr,510-540-5010,460 34th Street,Dermatologist,,
5,Berkeley,"Helen O. Chodsky, PA-C",510-486-1700,2320 Woolsey Street,Dermatologist,,
4.9,Berkeley,Icecreamwala Dermatology,510-330-2264,744 52nd Street,Dermatologist,,
5,,Dotz Warren Dr,510-540-5010,460 34th Street,Dermatologist,,
4.2,San Leandro,"Dr. Michael J. Mcglynn Jr, MD",510-357-5436,433 Estudillo Avenue #303,Gynecologist,,
4.2,,"Dr. Michael J. Mcglynn Jr, MD",510-357-5436,433 Estudillo Avenue #303,Gynecologist,,
3.4,Emeryville,"Dr. Ben L. Littlejohn III, MD",510-529-3800,2700 International Boulevard # 35,General Practitioner,,
4,Emeryville,"Dr. Louise E. Nurre, D.O.",510-525-2400,5855 Doyle Street #110,General Practitioner,,
3.4,,"Dr. Ben L. Littlejohn III, MD",510-529-3800,2700 International Boulevard # 35,General Practitioner,,
5,Petaluma,"Dr. Fasih A. Hameed, MD",707-559-7510,1301 Southpoint Boulevard,General Practitioner,,
5,Petaluma,"Dr. John D. Pendleton, MD",707-559-7620,401 Bicentennial Way,General Practitioner,,
5,Petaluma,"Dr. Nicole Mohlman, MD",707-763-7005,24 West El Rose Drive,General Practitioner,,
5,Petaluma,"Dr. Stephen P. Krickl, MD",866-325-0281,347 Andrieux Street,General Practitioner,,
4.5,Petaluma,El Rose Medical Group: Umino Paul K MD,707-763-9891,905 East Washington Street,General Practitioner,,
4.2,Petaluma,Lozanov Nikola Y MD,707-782-1244,555 Petaluma Avenue # A,General Practitioner,,
5,Petaluma,"Nurit Licht, MD",707-559-7500,1179 North McDowell Boulevard,General Practitioner,,
4,Petaluma,Petaluma Aesthetics: Nguyen Lana MD,707-765-2425,108 Lynch Creek Way # 4,General Practitioner,,
4.2,Danville,Dermatology and Laser Centre,925-820-3376,4680 Tassajara Road,Dermatologist,,
4.8,Danville,"Dr. Adam G. Wallach, MD",925-837-8848,917 San Ramon Valley Boulevard #199,Dermatologist,,
5,Danville,Elite MD - Medical Dermatology,925-838-4363,350 Rose Street,Dermatologist,,
4.8,Danville,"Marilyn Kwolek, MD",925-838-2677,1320 El Capitan Drive,Dermatologist,,
4.2,,Dermatology and Laser Centre,925-820-3376,4680 Tassajara Road,Dermatologist,,
4,Richmond,"Dr. Christopher R. Zamani, MD",510-374-7330,80 Nicholl Avenue,General Practitioner,,
5,Richmond,"Dr. Roger N. Morrison, MD",510-412-9044,350 30th Street #407,General Practitioner,,
5,Richmond,"Immanuel A. Asuncion, M.D.",510-204-8090,2850 Telegraph Avenue #130,General Practitioner,,
4,,"Dr. Christopher R. Zamani, MD",510-374-7330,80 Nicholl Avenue,General Practitioner,,
4.3,,"Dr. Kelly T. Hood, MD",925-283-5500,3807 Lone Tree Way,Dermatologist,,
4.7,Menlo Park,Dale Pearlman MD,650-325-0505,888 Oak Grove Avenue #8,Dermatologist,,
5,Menlo Park,"Elizabeth Gould, MD",650-212-5883,1220 University Drive #203,Dermatologist,,
4,Menlo Park,Gould-Jacobson Dermatology,650-327-5783,695 Oak Grove Avenue #220,Dermatologist,,
3.7,Menlo Park,"JoEllen VanZander, MD",650-736-5772,1618 Sullivan Avenue suite 105 105,Dermatologist,,
5,Menlo Park,"Jodie L. Bogomilsky, M.D.",650-325-1511,4300 El Camino Real Suite 100,Dermatologist,,
5,Menlo Park,Peninsula Dermatologic Surgery: Miller Tara MD,650-326-7222,695 Oak Grove Avenue STE 220,Dermatologist,,
4.7,,Dale Pearlman MD,650-325-0505,888 Oak Grove Avenue #8,Dermatologist,,
5,South San Francisco,"Dr. Donald R. Dossett, MD",650-636-1286,1501 Trousdale Drive #4,General Practitioner,,
3.7,South San Francisco,"Dr. Leland M. Luna, MD",650-871-4834,747 Altos Oaks Drive,General Practitioner,,
4.9,Daly City,Bay Area Obstetrics & Gynecology,650-238-6244,1850 Sullivan Avenue Suite 550,Gynecologist,,
5,Daly City,"Milagros C. Cabrera, MD, FACOG",650-756-2404,1850 Sullivan Avenue #550,Gynecologist,,
4.9,,Bay Area Obstetrics & Gynecology,650-238-6244,1850 Sullivan Avenue Suite 550,Gynecologist,,
5,,Elloway John MD,415-892-3300,1956 Union Street,General Practitioner,,
4.7,,"Dr. Clark Rosen, MD",415-885-7700,500 Sutter Street #430,ENT Specialist,,
4,Sebastopol,"Advanced Skin Care & Dermatology, Inc.",707-829-5795,3443 Villa Lane,Dermatologist,,
5,Sebastopol,Dr. Cynthia Bailey Aestheticians,707-829-5779,6880 Palm Avenue,Dermatologist,,
4,,"Advanced Skin Care & Dermatology, Inc.",707-829-5795,3443 Villa Lane,Dermatologist,,
5,Dixon,"Dr. Andy Y. Zhu, MD",707-635-1639,100 Hospital Drive # 304,General Practitioner,,
4.7,Dixon,"Gayle L. Sutcliffe, M.D.",707-678-0258,125 North Lincoln Street # G,General Practitioner,,
5,Dixon,Lee Sandra MD,707-678-1623,125 North Lincoln Street STE G,General Practitioner,,
5,,"Dr. Andy Y. Zhu, MD",707-635-1639,100 Hospital Drive # 304,General Practitioner,,
5,Hayward,"Bay Valley Medical Group: Sheri Task, MD",510-785-5000,27212 Calaroga Avenue,Gynecologist,,
5,,"Bay Valley Medical Group: Sheri Task, MD",510-785-5000,27212 Calaroga Avenue,Gynecologist,,
4.3,Hercules,Dermatology Associates of the Bay Area,510-741-7299,500 Alfred Nobel Drive #245,Dermatologist,,
5,Hercules,Dermatology Associates of the Bay Area: Dr. Eitan Homa,510-741-7418,3300 Webster Street #1106,Dermatologist,,
4.1,Hercules,"Dr. William W. Ting, MD",510-669-5700,3555 Whipple Rd,Dermatologist,,
4.6,,Dermatology Associates of the Bay Area,707-762-5531,500 Alfred Nobel Drive #245,Dermatologist,,
4.2,,Benson Frederick P MD,408-224-6236,6950 Santa Teresa Boulevard,General Practitioner,,
5,Mill Valley,"Aesthetic Dermatology and Skin Cancer: Jeffrey H. Binstock, M.D.",415-383-5475,45 Castro Street,Dermatologist,,
5,Mill Valley,"Dr. David A. Laub, MD",415-381-6661,535 Miller Avenue,Dermatologist,,
5,Mill Valley,Mill Valley Dermatology,415-634-8411,909 Hyde Street #419,Dermatologist,,
5,Mill Valley,"Zand Dermatology: Sarvenaz Zand, M.D.",415-301-5000,655 Redwood Highway Frontage Road Suite 246,Dermatologist,,
4.5,Antioch,"Dr. Daniel L. Zimmerman, MD",925-754-8070,3737 Lone Tree Way # A,Gynecologist,,
4.3,Antioch,Ferry James A MD,925-813-6500,5601 Deer Valley Road,Gynecologist,,
4.8,Antioch,"Youngs ObGyn: Young Kim, MD",925-778-0700,3724 Lone Tree Way Suite A,Gynecologist,,
4.5,,"Dr. Daniel L. Zimmerman, MD",925-754-8070,3737 Lone Tree Way # A,Gynecologist,,
5,Concord,Ford Lloyd C MD,925-685-7400,2700 Grant Street #104,ENT Specialist,,
5,,Ford Lloyd C MD,925-685-7400,2700 Grant Street #104,ENT Specialist,,
4.8,Fremont,"Dr. James N. Cohn, MD",510-791-2233,491 30th St,Ophthalmologist,,
4.8,,"Dr. James N. Cohn, MD",510-791-2233,491 30th St,Ophthalmologist,,
3.6,Fremont,Cheney Tamara MD,510-248-1700,2287 Mowry Avenue suite c,General Practitioner,,
3.9,Fremont,"Dr. Ebrahim Ahmadi, MD",510-791-2002,632 Mowry Avenue,General Practitioner,,
3.5,Fremont,"Edmundo Ruiz Davila, MD",510-797-5372,350 30th Street #540,General Practitioner,,
5,Fremont,"John J. Wankner, Pac",510-796-1000,4087 Peralta Boulevard,General Practitioner,,
5,Fremont,Khalid A Baig MD,510-793-4717,39225 State Street,General Practitioner,,
4,Fremont,"Steven Curran, MD",510-248-1065,46690 Mohave Drive,General Practitioner,,
5,Fremont,Tilley Spencer B MD,510-794-3641,3161 Walnut Avenue,General Practitioner,,
3.6,,Cheney Tamara MD,510-248-1700,2287 Mowry Avenue suite c,General Practitioner,,
5,Mountain View,"Christopher A. Chin, M.D.",916-408-5401,701 E El Camino Real 2nd Floor,General Practitioner,,
5,Mountain View,Midori Nishimura Md,650-988-1800,1800 Sullivan Avenue # 101,General Practitioner,,
5,Mountain View,Tatelman Joyce MD,650-528-5110,"2036, 211 Eastmoor Avenue",General Practitioner,,
4,Mountain View,"Thanhan Viviane Nguyen, D.O.",650-404-8370,301 Old San Francisco Road Level 2,General Practitioner,,
5,,"Christopher A. Chin, M.D.",916-408-5401,701 E El Camino Real 2nd Floor,General Practitioner,,
5,St. Helena,Family Birth Place,707-963-6505,10 Woodland Road,Gynecologist,,
5,St. Helena,John H Kirk MD,707-967-7550,821 S Saint Helena Highway,Gynecologist,,
3.2,Walnut Creek,Diablo Valley ENT in Walnut Creek,925-933-8462,2440 Samaritan Drive,ENT Specialist,,
5,Walnut Creek,"Dr. Lloyd C Ford, MD - Contra Costa ENT a Division of BASS Medical Group",925-932-3112,365 Lennon Lane Suite 280,ENT Specialist,,
3.2,,Diablo Valley ENT in Walnut Creek,925-933-8462,2440 Samaritan Drive,ENT Specialist,,
5,,Dr. Ruth Olweny,415-866-7932,280 West MacArthur Boulevard,Gynecologist,,
5,Dublin,"Nicole A. Jeffrey-Starr, M.D.",925-875-6546,4000 Dublin Boulevard #2,Gynecologist,,
5,,"Nicole A. Jeffrey-Starr, M.D.",925-875-6546,4000 Dublin Boulevard #2,Gynecologist,,
3.5,,Altos Oaks OB-GYN group - Stanford,650-988-7470,2485 Hospital Drive #330,Gynecologist,,
3.1,Castro Valley,Mark Zeme MD,510-889-6673,1900 University Ave #105,ENT Specialist,,
4.3,Concord,"Curtis A. Raskin, MD, FAAD",925-687-8882,101 Park Place Suite 101,Dermatologist,,
4.3,,"Curtis A. Raskin, MD, FAAD",925-687-8882,101 Park Place Suite 101,Dermatologist,,
5,,Dr. Anne Cole,650-969-2959,23275 Eastbrook Court,General Practitioner,,
5,,"Dr. Fasih A. Hameed, MD",707-559-7510,1301 Southpoint Boulevard,General Practitioner,,
3.3,Los Altos,"Edward C Lee, MD",650-967-1770,16130 Juan Hernandez Drive #108,ENT Specialist,,
4.9,Fremont,"Jason R. Van Tassel, MD",510-248-1590,2961 Summit Street,ENT Specialist,,
4.9,,"Jason R. Van Tassel, MD",510-248-1590,2961 Summit Street,ENT Specialist,,
4.6,,Babak Edraki MD,925-627-3440,1479 Ygnacio Valley Road,Gynecologist,,
5,Redwood City,Feiler Lewis S MD,650-369-2529,2452 Watson Court,Ophthalmologist,,
5,Redwood City,Tearse Eye Care,650-368-3937,162 Clinton Street,Ophthalmologist,,
3.7,Redwood City,California Skin Institute,650-361-1177,1010 Laurel Street,Dermatologist,,
5,Redwood City,"Jennifer Chen, MD",650-723-6316,455 Oconnor Drive #290,Dermatologist,,
5,Redwood City,Sumaira Z. Aasi MD,650-725-5272,321 Middlefield Road,Dermatologist,,
5,,California Skin Institute,415-678-5887,909 Hyde Street #419,Dermatologist,,
5,,Bay Area Retina Associates,510-505-1430,21675 Redwood Road,Ophthalmologist,,
5,,"Albert Pisani, M.D.",650-934-7520,2490 Hospital Drive #111,Gynecologist,,
5,,"Dr. Anakha R. Nambiar, MD",408-871-9105,55 East Julian Street,General Practitioner,,
5,Antioch,Bay Area Retina Associates,510-505-1430,21675 Redwood Road,Ophthalmologist,,
5,Antioch,"Stewart A. Daniels, M.D",925-522-8850,3330 Clayton Road,Ophthalmologist,,
4.5,,"Dr. Maryam Fortani, MD",510-924-7993,3318 Elm Street,General Practitioner,,
3.7,,Dr. Robert Greenberg,925-277-1300,3511 School Street,Dermatologist,,
5,,"Dr. Linda A. Teagle, MD",408-370-1331,777 Knowles Drive,Gynecologist,,
4.3,,Berman Skin Institute,925-932-3800,355 Lennon Lane Suite 255,Dermatologist,,
3.5,Sunnyvale,"Ann Wong, M.D.",408-730-4240,301 Old San Francisco Road Level 3,Gynecologist,,
3.5,,"Ann Wong, M.D.",408-730-4240,301 Old San Francisco Road Level 3,Gynecologist,,
4.1,San Ramon,"Nooshin Parhizkar, M.D.",925-277-9000,911 Moraga Road Suite 102,ENT Specialist,,
4.1,,"Nooshin Parhizkar, M.D.",925-277-9000,911 Moraga Road Suite 102,ENT Specialist,,
5,,Dermatology: UCSF Benioff Children's Hospital Oakland,510-428-3304,3300 Webster Street,Dermatologist,,
3.4,,Bruce M. Saal MD,408-374-1320,777 Knowles Drive,Dermatologist,,
5,Milpitas,"Dr. Ramon F. Garcia, MD",408-945-2900,2323 Montpelier Drive # C,General Practitioner,,
5,,"Dr. Ramon F. Garcia, MD",408-945-2900,2323 Montpelier Drive # C,General Practitioner,,
3.9,,"Advanced Dermatology & Skin Surgery, George Hsieh, M.D.",408-217-1905,4155 Moorpark Avenue #3,Dermatologist,,
4.1,Los Altos,Chang David F MD,650-948-9123,1174 Castro Street # 100,Ophthalmologist,,
5,Los Altos,"Dr. Barry Y.P. Fung, M.D.",650-967-7834,2485 Hospital Drive #200,Ophthalmologist,,
4.1,,Chang David F MD,650-948-9123,1174 Castro Street # 100,Ophthalmologist,,
5,,Berman Skin Institute,650-325-6000,321 Middlefield Road # 245,Dermatologist,,
4.7,,Age Defying Dermatology,408-369-4214,3803 South Bascom Avenue #200,Dermatologist,,
4.9,San Ramon,East Bay Eye Center: Severin Todd D MD,925-830-8823,909 San Ramon Valley Boulevard #114,Ophthalmologist,,
5,San Ramon,"Robert B. Neves, M.D.",925-866-2020,1844 San Miguel Drive # 303,Ophthalmologist,,
4.9,,East Bay Eye Center: Severin Todd D MD,925-830-8823,909 San Ramon Valley Boulevard #114,Ophthalmologist,,
3.2,,Dr. Sunil S. Dhawan,408-957-7676,995 County Highway G4 #111,Dermatologist,,
5,,"Dr. Madhavi Chenumalla, MD",650-299-2000,1800 Sullivan Avenue # 606,General Practitioner,,
5,Palo Alto,Clear Skin Concierge,424-256-5699,2435 Webster Street #101,Dermatologist,,
5,Palo Alto,"Faranak Kamangar, M.D.",650-853-2982,"795 El Camino Real Clark Building, Level 2",Dermatologist,,
5,Palo Alto,"Julie A. Letsinger, M.D.",916-454-6852,401 Old San Francisco Road Level 2,Dermatologist,,
3.7,Palo Alto,Stanford Children's Health- Dermatology Department,650-721-1227,"f4, 450 Broadway",Dermatologist,,
5,,Clear Skin Concierge,424-256-5699,2435 Webster Street #101,Dermatologist,,
5,Burlingame,"Dr. Debra Shapiro, MD",650-697-8808,1720 El Camino Real # 120,Gynecologist,,
5,Burlingame,Dr. Joy Zhou - MD,650-692-8080,1750 El Camino Real #102,Gynecologist,,
5,Burlingame,"Dr. Thomas O. Stodgel, MD",650-344-7802,"1820 Ogden Avenue Floor, 2",Gynecologist,,
5,Burlingame,"Lisa Dyer, MD",650-652-8420,1501 Trousdale Drive 4th Floor,Gynecologist,,
5,,"Dr. Debra Shapiro, MD",650-697-8808,1720 El Camino Real # 120,Gynecologist,,
4.9,Oakland,Bay Area Retina Associates,510-832-6554,491 30th Street #201,Ophthalmologist,,
4.6,Oakland,"Cynthia S. Chiu, MD, FACS, Inc.",510-836-2122,491 30th Street #201,Ophthalmologist,,
5,Oakland,"Dr. Christopher J. Dickens, MD",510-763-9775,491 30th Street #103,Ophthalmologist,,
4,Oakland,Northern California Cornea Associates.Inc.,510-444-0603,2219 Buchanan Road #6,Ophthalmologist,,
4.3,Oakland,Silkiss Rona Z MD,510-763-0881,491 30th Street #103,Ophthalmologist,,
4.9,,Bay Area Retina Associates,510-832-6554,491 30th Street #201,Ophthalmologist,,
5,Pleasanton,Bay Area Retina Associates,925-463-8200,2219 Buchanan Road #6,Ophthalmologist,,
3.5,Pleasanton,"Charles Huang, MD",925-847-5065,2305 Camino Ramon #202,Ophthalmologist,,
5,Pleasanton,"Steven H. Hong, OD",925-225-9036,3685 Mount Diablo Boulevard #100,Ophthalmologist,,
5,,Bay Area Retina Associates,707-552-9596,1460 North Camino Alto #109,Ophthalmologist,,
3.5,Milpitas,"Gul A. Zikria, M.D., FACOG",408-217-7781,1109 South Park Victoria Drive,Gynecologist,,
5,Menlo Park,Dalal Sapna MD,650-493-5000,866 Campus Drive,General Practitioner,,
3.7,Menlo Park,"Daniel Huie, MD",650-736-5770,1500 Southgate Avenue #204,General Practitioner,,
5,,Dalal Sapna MD,650-493-5000,866 Campus Drive,General Practitioner,,
4.2,San Jose,"Dr. Lionel M. Nelson, MD",408-358-6163,2577 Samaritan Drive #845,ENT Specialist,,
3.7,San Jose,"Dr. Mauro B. Ruffy, MD",408-357-1250,2505 Samaritan Drive Suite 510,ENT Specialist,,
4.5,San Jose,Dr. Michael Murray,408-227-6300,6060 Hellyer Avenue #150,ENT Specialist,,
4.7,San Jose,"Ricardo J. Trevino, MD",408-926-5300,1199 Bush Street #290,ENT Specialist,,
5,San Jose,San Jose Ear and Sinus Medical Center,408-358-8507,2577 Samaritan Drive #845,ENT Specialist,,
4.2,,"Dr. Lionel M. Nelson, MD",408-358-6163,2577 Samaritan Drive #845,ENT Specialist,,
5,Fairfield,"Rachel Villalon, MD",707-646-4100,1860 Pennsylvania Avenue #300b,Gynecologist,,
5,,"Rachel Villalon, MD",707-646-4100,1860 Pennsylvania Avenue #300b,Gynecologist,,
4.7,San Leandro,Baldwin Medical Group: Baldwin Vincent MD,510-357-3790,1501 3rd Street,General Practitioner,,
5,San Leandro,Dr. Anatoly G. Brodsky,510-454-4010,445 30th Street #2,General Practitioner,,
4.5,San Leandro,"Dr. Maryam Fortani, MD",510-924-7993,3318 Elm Street,General Practitioner,,
3.8,San Leandro,Family Medical Group,510-351-2100,20410 Lake Chabot Road #3,General Practitioner,,
5,San Leandro,Family Medical Group: Robertson Bruce A MD,510-357-3389,333 Estudillo Avenue # C,General Practitioner,,
4.7,,Baldwin Medical Group: Baldwin Vincent MD,510-357-3790,1501 3rd Street,General Practitioner,,
4.9,,"Brown Peter, MD",650-941-4545,877 West Fremont Avenue unit n1,General Practitioner,,
4.6,,Novato Dermatology,415-892-0754,2100 Webster Street Suite 411,Dermatologist,,
5,,"Dr. Faith R. Protsman, MD",408-846-6444,9360 North Name Uno,General Practitioner,,
5,,"Bhoomika Kamath, MD",925-314-0260,319 Diablo Road,General Practitioner,,
5,,"Dr. Chika Akera, MD",925-363-2000,2500 Alhambra Avenue,General Practitioner,,
5,San Mateo,"Beatrice Burke, MD",650-344-1114,136 North San Mateo Drive #101,Gynecologist,,
4.2,San Mateo,"Isabell Beddow, Md",650-558-0611,1 Baywood Avenue #5,Gynecologist,,
4.5,San Mateo,"Rubi Khilnani, M.D., FACOG",650-477-8112,1 Baywood Avenue Suite 9,Gynecologist,,
3.7,San Mateo,"Zelda S. de la Cruz, MD OBGYN",650-375-8482,1 Baywood Avenue #7,Gynecologist,,
5,,"Beatrice Burke, MD",650-344-1114,136 North San Mateo Drive #101,Gynecologist,,
5,,Amy Kane,510-490-1222,"2, 3200 Kearney Street",Gynecologist,,
4.3,Vallejo,Associated Family Physicians: Hennessey Sean P MD,707-643-3028,3431 Broadway Street,General Practitioner,,
5,Vallejo,Daquioag Rodolfo A MD,707-554-4495,155 Glen Cove Marina Road #100,General Practitioner,,
4.6,Vallejo,Lim Steve MD,707-645-8576,1646 Broadway Street,General Practitioner,,
5,Vallejo,Valdez Amelia B MD,707-554-1986,1460 North Camino Alto # 100,General Practitioner,,
5,Vallejo,Yoshisato Paige A MD,707-558-8699,1179 North McDowell Boulevard,General Practitioner,,
4.3,,Associated Family Physicians: Hennessey Sean P MD,707-643-3028,3431 Broadway Street,General Practitioner,,
5,Windsor,"Brenda Manfredi, MD",707-387-3910,2323 Bethards Drive,General Practitioner,,
5,,"Brenda Manfredi, MD",707-387-3910,2323 Bethards Drive,General Practitioner,,
5,Mill Valley,"Dr. Beth McDougall, MD",415-388-5520,2574 San Bruno Avenue,General Practitioner,,
5,Mill Valley,Werschky II a G MD,415-388-2657,125 Throckmorton Avenue,General Practitioner,,
5,Palo Alto,"Brad Hinrichs, M.D.",916-736-5533,5401 Norris Canyon Road,ENT Specialist,,
5,Palo Alto,Chris Holsinger,650-498-6000,801 Welch Road,ENT Specialist,,
3.7,Atherton,California Sinus Centers,650-399-4630,"F3, 900 Blake Wilbur Drive",ENT Specialist,,
5,Petaluma,"Dr. Michael A. Saidel, MD",707-762-3573,1383 North McDowell Boulevard #100,Ophthalmologist,,
5,Petaluma,Eye Care Institute,707-763-6400,6880 Palm Avenue,Ophthalmologist,,
5,Berkeley,"Dr. Richard J Kerbavaz, MD",510-845-4500,2316 Dwight Way,ENT Specialist,,
5,Larkspur,"Kambridge Hribar, MD",415-295-7160,"1, 2380 Sutter Street",ENT Specialist,,
3.7,Saratoga,"Dr. Vilasini M. Ganesh, MD",408-378-1610,1600 West Campbell Avenue #202,General Practitioner,,
5,Saratoga,"Joseph J. Walters, MD",408-253-4806,20555 Prospect Road Suite A,General Practitioner,,
4.8,Petaluma,"Julie Clark, MD",707-763-2900,1550 A Professional Drive #100,Gynecologist,,
5,Union City,"Jennifer Isaacs, MD",510-454-4090,3553 Whipple Road,Gynecologist,,
3.5,Livermore,"Meghan Dickman, MD",925-373-4601,5575 West Las Positas Boulevard,Dermatologist,,
3.3,San Carlos,"Janice Kim, M.D.",650-596-4000,301 Industrial Road Level 3,General Practitioner,,
5,San Carlos,"Wendy M. Landreville, M.D.",530-749-3623,370 Distel Circle,General Practitioner,,
5,Redwood City,"Dr. Julianne G. O'callahan, MD",650-366-4633,2950 Whipple Avenue,Gynecologist,,
4.1,Redwood City,Freyja Clinic,650-701-1882,570 Price Avenue,Gynecologist,,
4,Redwood City,"Mary Pravdin, MD",650-298-0990,2900 Whipple Avenue,Gynecologist,,
5,Redwood City,"Tatiana Spirtos, MD - Stanford Children's Health",650-366-5594,2900 Whipple Avenue #135,Gynecologist,,
5,Pleasanton,"Dr. Sonia R. Santana, DO",925-416-0111,5565 West Las Positas Boulevard,Gynecologist,,
4,Concord,"Dr. Mehrnoosh Almassi, MD",925-674-2125,2485 High School Street #111,Gynecologist,,
5,Daly City,"Dr. Daniel J. Buckley, MD",650-991-9007,1440 Southgate Avenue,Ophthalmologist,,
5,Daly City,Dr. Paul R. Holland,650-992-1300,2702 Low Court,Ophthalmologist,,
4.7,Daly City,"Dr. Paul R. Holland, MD",650-758-2171,762 Altos Oaks Drive,Ophthalmologist,,
5,Napa,Dr. Kathryn Kent,707-927-3508,461 7th Street West # 3,Dermatologist,,
5,Napa,"Lewis May, II, MD",707-258-4527,941 Merchant Street # A,Dermatologist,,
5,Napa,Napa Dermatology Associates,707-252-2931,1700 2nd Street #220,Dermatologist,,
5,Vacaville,"Dr. Caren Campbell, MD",415-217-3880,600 Nut Tree Road #260,Dermatologist,,
3.2,Vacaville,Vacaville Dermatology,707-446-6969,941 Merchant Street A,Dermatologist,,
4.7,,Britz Marie B MD,408-294-3202,2074 Forest Avenue # 1,Dermatologist,,
3.9,,"Dr. Ebrahim Ahmadi, MD",510-791-2002,632 Mowry Avenue,General Practitioner,,
5,,"Arthur D. Fu, MD",650-342-7137,1391 Woodside Road #200,Ophthalmologist,,
4,Brentwood,"Balfour Dermatology Robert E. Beer, MD",925-240-9116,6155 Stoneridge Drive #150,Dermatologist,,
3.7,Brentwood,Golden State Dermatology,925-308-9510,1133 East Stanley Boulevard Suite 111,Dermatologist,,
4,,"Balfour Dermatology Robert E. Beer, MD",925-240-9116,6155 Stoneridge Drive #150,Dermatologist,,
5,,"Dr. Robert A. Varady, MD",707-428-0778,1525 Webster Street # C,General Practitioner,,
4,,"Dr. Louise E. Nurre, D.O.",510-525-2400,5855 Doyle Street #110,General Practitioner,,
5,,"Aesthetic Dermatology and Skin Cancer: Jeffrey H. Binstock, M.D.",415-383-5475,45 Castro Street,Dermatologist,,
