address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
1800 Sutter Street,,,TRUE,,+1 888-822-8666,4,2880,San Francisco
2095 Lombard Street,,,FALSE,,+1 415-563-5600,4,992,San Francisco
2222 Market Street,,,TRUE,,+1 415-621-8212,4,750,San Francisco
2237 Mason Street,,,TRUE,,+1 800-352-7366,4,260,San Francisco
250 Beach Street,,,FALSE,,+1 844-617-6555,4,600,San Francisco
2620 Jones Street,,,TRUE,,+1 800-228-8408,4,2880,San Francisco
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.1,1680,San Francisco
12 4th Street,,,TRUE,,+1 415-348-1111,4.1,312,San Francisco
1800 Sutter Street,,,TRUE,,+1 888-822-8666,4.1,2880,San Francisco
2237 Mason Street,,,TRUE,,+1 800-352-7366,4.1,155,San Francisco
250 Beach Street,,,FALSE,,+1 844-617-6555,4.1,1836,San Francisco
1753 Orchid Avenue,,,FALSE,,+1 323-874-9678,4.4,520,Los Angeles
1800 Argyle Avenue,,,TRUE,,+1 213-279-3532,4.4,140,Los Angeles
2151 Avenue of the Stars,,,TRUE,,+1 310-284-6500,4.4,720,Los Angeles
300 Doheny Drive,,,TRUE,,+1 310-273-2222,4.4,640,Los Angeles
330 Charles E Young Drive East,,,TRUE,,+1 310-825-2923,4.4,285,Los Angeles
425 Westwood Plaza,,,TRUE,,+1 310-206-8585,4.4,840,Los Angeles
465 La Cienega Boulevard,,,TRUE,,+1 310-247-0400,4.4,1215,Los Angeles
5933 West Century Boulevard,,,TRUE,,+1 310-568-7700,4.4,900,Los Angeles
6151 West Century Boulevard,,,FALSE,,+1 310-215-3300,4.4,1725,Los Angeles
8555 Beverly Boulevard,,,TRUE,,+1 310-278-5444,4.4,500,Los Angeles
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.5,1248,New York
"111 North 12th Street, Brooklyn",,,TRUE,,+1 718-631-8400,4.5,380,New York
120 East 39th Street,,,TRUE,,+1 212-686-1600,4.5,4900,New York
120 West 41st Street,,,TRUE,,+1 888-559-5862,4.5,2880,New York
"125 Flatbush Avenue Extension, Brooklyn",,,TRUE,,+1 718-875-8800,4.5,2160,New York
130 West 44th Street,,,TRUE,,+1 212-764-6200,4.5,3360,New York
130 West 46th Street,,,TRUE,,+1 212-485-2400,4.5,2304,New York
1414 6th Avenue,,,TRUE,,+1 212-703-2001,4.5,5950,New York
145 East 50th Street,,,TRUE,,+1 800-683-0400,4.5,1680,New York
15 West 56th Street,,,TRUE,,+1 212-974-5656,4.5,520,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.3,435,New York
123 West 28th Street,,,FALSE,,+1 212-244-4477,4.3,840,New York
1020 South Figueroa Street,,,TRUE,,+1 213-748-1291,3.6,1575,Los Angeles
10320 West Olympic Boulevard,,,TRUE,,+1 310-556-2777,3.6,684,Los Angeles
10740 Wilshire Boulevard,,,TRUE,,+1 310-475-8711,3.6,868,Los Angeles
"111 South Gaffey Street, San Pedro, California 90731, United States",,,TRUE,,+1 310-514-1414,3.6,126,Los Angeles
1133 Vine Street,,,TRUE,,+1 323-952-6900,3.6,1152,Los Angeles
"11350 Burbank Boulevard, North Hollywood, CA 91601, USA",,,TRUE,,+1 818-821-8031,3.6,624,Los Angeles
115 South Fairfax Avenue,,,TRUE,,+1 323-937-3930,3.6,1050,Los Angeles
1150 South Beverly Drive,,,TRUE,,+1 310-553-6561,3.6,264,Los Angeles
1177 South Beverly Drive,,,TRUE,,+1 310-228-4100,3.6,252,Los Angeles
1224 Beverwil Drive,,,TRUE,,+1 310-277-2800,3.6,288,Los Angeles
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,4.1,2100,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.1,1248,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.1,1890,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.1,1860,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,4.1,528,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.1,736,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,4.1,720,New York
1050 West Ball Road,,,TRUE,,+1 714-860-4660,4.2,648,Anaheim
1166 West Katella Avenue,,,TRUE,,+1 714-774-7817,4,672,Anaheim
1176 West Katella Avenue,,,TRUE,,+1 714-776-0140,4.3,216,Anaheim
1221 South Harbor Boulevard,,,TRUE,,+1 714-758-0900,3.8,972,Anaheim
"1003 Coast Boulevard, La Jolla, California 92037, United States",,,TRUE,,+1 855-287-2682,3.7,1240,San Diego
10044 Pacific Mesa Boulevard,,,TRUE,,+1 858-597-0500,3.7,900,San Diego
1047 Fifth Avenue,,,TRUE,,+1 619-515-3000,3.7,2856,San Diego
"10950 North Torrey Pines Road, La Jolla, California 92037, United States",,,TRUE,,+1 858-558-1500,3.7,1260,San Diego
11025 Vista Sorrento Parkway,,,TRUE,,+1 858-523-0500,3.7,870,San Diego
11520 West Bernardo Court,,,TRUE,,+1 858-451-6600,3.7,1680,San Diego
11915 El Camino Real,,,TRUE,,+1 858-481-5900,3.7,864,San Diego
11920 El Camino Real,,,TRUE,,+1 858-792-5557,3.7,792,San Diego
1333 Hotel Circle South,,,TRUE,,+1 619-297-2231,3.7,800,San Diego
1355 North Harbor Drive,,,TRUE,,+1 619-232-3861,3.7,1260,San Diego
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.2,336,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.2,81,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.2,435,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.2,352,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,4.2,114,New York
"1100 South Avenue, Staten Island",,,TRUE,,+1 718-477-2400,4.2,105,New York
"111 North 12th Street, Brooklyn",,,TRUE,,+1 718-631-8400,4.2,1820,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.3,1248,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.3,736,New York
"111 North 12th Street, Brooklyn",,,TRUE,,+1 718-631-8400,4.3,3150,New York
114 East 32nd Street,,,TRUE,,+1 212-603-9000,4.3,1035,New York
120 West 41st Street,,,TRUE,,+1 888-559-5862,4.3,2880,New York
123 West 44th Street,,,TRUE,,+1 212-764-5700,4.3,992,New York
124 East 28th Street,,,TRUE,,+1 212-448-0888,4.3,720,New York
1747 South Harbor Boulevard,,,TRUE,,+1 800-345-7057,4.4,560,Anaheim
100 Greenwich Street,,,TRUE,,+1 917-409-0800,3.4,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,3.4,405,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,3.4,81,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3.4,276,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,3.4,315,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,3.4,594,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,3.4,756,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,3.4,1440,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,3.4,352,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,3.4,114,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,3.9,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,3.9,2100,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,3.9,1248,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,3.9,315,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,3.9,900,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,3.9,756,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,3.9,1440,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,3.9,352,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,3.9,114,New York
"11-01 43rd Avenue, Long Island City",,,TRUE,,+1 212-319-7000,3.9,2016,New York
1000 1st Avenue,,,TRUE,,+1 206-957-1000,4.2,1008,Seattle
1046 1st Avenue South,,,TRUE,,+1 206-204-9800,4.2,1368,Seattle
"111 North 12th Street, Brooklyn",,,TRUE,,+1 718-631-8400,4.5,1820,New York
120 West 41st Street,,,TRUE,,+1 888-559-5862,4.5,1536,New York
130 West 44th Street,,,TRUE,,+1 212-764-6200,4.5,780,New York
1414 6th Avenue,,,TRUE,,+1 212-703-2001,4.5,760,New York
145 East 50th Street,,,TRUE,,+1 800-683-0400,4.5,1848,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,3.8,990,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,3.3,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,3.3,405,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,3.3,81,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3.3,276,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,3.3,315,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,3.3,435,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,3.3,594,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,3.3,756,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,3.3,1440,New York
"1302 44th Avenue, Long Island City",,,FALSE,,+1 347-738-5251,4.4,1700,New York
135 West 45th Street,,,FALSE,,+1 646-364-1234,4.4,1440,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,4,405,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4,81,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,4,315,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4,435,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4,594,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,4,1440,New York
109 West 45th Street,,,FALSE,,+1 212-730-9444,4,1560,New York
"1003 Coast Boulevard, La Jolla, California 92037, United States",,,TRUE,,+1 855-287-2682,4.4,1240,San Diego
10044 Pacific Mesa Boulevard,,,TRUE,,+1 858-597-0500,4.4,900,San Diego
2051 Shelter Island Drive,,,TRUE,,+1 619-222-0561,4.4,648,San Diego
2201 Hotel Circle South,,,TRUE,,+1 619-881-6800,4.4,276,San Diego
2401 Camino Del Rio North,,,TRUE,,+1 888-287-9400,4.4,140,San Diego
2576 Laning Road,,,TRUE,,+1 619-222-0500,4.4,624,San Diego
2592 Laning Road,,,TRUE,,+1 619-221-1900,4.4,864,San Diego
4255 Ocean Boulevard,,,TRUE,,+1 858-483-7440,4.4,225,San Diego
445 Camino del Rio South,,,TRUE,,+1 619-260-0600,4.4,270,San Diego
509 Ninth Avenue,,,TRUE,,+1 619-727-4000,4.4,1392,San Diego
"13th And, J Street",,,TRUE,,+1 916-447-1700,4.3,1488,Sacramento
2001 Point West Way,,,TRUE,,+1 916-929-8855,4.1,279,Sacramento
300 J Street,,,TRUE,,+1 916-446-0100,4.1,594,Sacramento
3001 Advantage Way,,,TRUE,,+1 916-263-9510,4.3,2016,Sacramento
350 Bercut Drive,,,TRUE,,+1 916-497-0955,3.4,720,Sacramento
"13th And, J Street",,,TRUE,,+1 916-447-1700,3.5,1488,Sacramento
2001 Point West Way,,,TRUE,,+1 916-929-8855,3.5,279,Sacramento
300 J Street,,,TRUE,,+1 916-446-0100,3.5,594,Sacramento
3001 Advantage Way,,,TRUE,,+1 916-263-9510,3.5,2016,Sacramento
4422 Y Street,,,TRUE,,+1 916-455-6800,3.5,525,Sacramento
1110 West Katella Avenue,,,TRUE,,+1 714-778-1880,4.2,1152,Anaheim
1160 West Ball Road,,,TRUE,,+1 888-287-9400,4.2,1920,Anaheim
1176 West Katella Avenue,,,TRUE,,+1 714-776-0140,4.2,216,Anaheim
125 South Festival Drive,,,TRUE,,+1 714-974-8880,4.2,750,Anaheim
1380 South Harbor Boulevard,,,FALSE,,+1 714-776-6120,4.2,420,Anaheim
1411 South Manchester Avenue,,,TRUE,,+1 714-844-2801,4.2,1428,Anaheim
1420 South Harbor Boulevard,,,TRUE,,+1 714-254-1442,4.2,324,Anaheim
1520 South Harbor Boulevard,,,TRUE,,+1 714-635-7275,4.2,1530,Anaheim
1544 South Harbor Boulevard,,,TRUE,,+1 714-776-4800,4.2,1200,Anaheim
1753 Orchid Avenue,,,FALSE,,+1 323-874-9678,4.5,520,Los Angeles
1800 Argyle Avenue,,,TRUE,,+1 213-279-3532,4.5,140,Los Angeles
300 Doheny Drive,,,TRUE,,+1 310-273-2222,4.5,640,Los Angeles
330 Charles E Young Drive East,,,TRUE,,+1 310-825-2923,4.5,285,Los Angeles
425 Westwood Plaza,,,TRUE,,+1 310-206-8585,4.5,840,Los Angeles
6151 West Century Boulevard,,,FALSE,,+1 310-215-3300,4.5,1725,Los Angeles
1095 Market Street,,,TRUE,,+1 415-829-0000,3.7,1125,San Francisco
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.4,1680,San Francisco
111 Mason Street,,,TRUE,,+1 415-771-1200,3.6,2340,San Francisco
1707 Market Street,,,FALSE,,+1 800-576-0767,2.7,440,San Francisco
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.2,1680,San Francisco
"1120 South Avenue, Staten Island",,,TRUE,,+1 718-477-1600,4.2,2268,New York
1 Logan Square,,,TRUE,,+1 215-963-1500,3.9,510,Philadelphia
1001 Intrepid Avenue,,,TRUE,,+1 215-644-9200,3.9,174,Philadelphia
101 North Broad Street,,,TRUE,,+1 215-607-2020,3.9,2772,Philadelphia
1100 Arch Street,,,TRUE,,+1 215-923-0100,3.9,540,Philadelphia
120 South 17th Street,,,TRUE,,+1 215-569-8300,3.9,2592,Philadelphia
1200 Arch Street,,,TRUE,,+1 215-627-1850,3.9,600,Philadelphia
1301 Race Street,,,TRUE,,+1 215-665-9100,3.9,150,Philadelphia
1305 Walnut Street,,,TRUE,,+1 215-735-9300,3.9,1404,Philadelphia
1421 Arch Street,,,TRUE,,+1 215-422-8200,3.9,680,Philadelphia
1800 Market Street,,,TRUE,,+1 800-766-3782,3.9,1116,Philadelphia
100 Capitol Mall,,,TRUE,,+1 916-326-5000,4.1,3360,Sacramento
1100 H Street,,,FALSE,,+1 916-441-1314,4.1,210,Sacramento
1121 15th Street,,,TRUE,,+1 916-443-0500,4.1,1044,Sacramento
1209 L Street,,,FALSE,,+1 916-443-1234,4.1,2268,Sacramento
"13th And, J Street",,,TRUE,,+1 916-447-1700,4.1,1008,Sacramento
2200 Harvard Street,,,TRUE,,+1 916-922-4700,4.1,660,Sacramento
2540 Venture Oaks Way,,,TRUE,,+1 916-568-5400,4.1,1008,Sacramento
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,4.2,2100,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.4,270,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.2,540,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,4,1368,New York
10740 Wilshire Boulevard,,,TRUE,,+1 310-475-8711,4.3,768,Los Angeles
"11350 Burbank Boulevard, North Hollywood, CA 91601, USA",,,TRUE,,+1 818-821-8031,4.3,400,Los Angeles
115 South Fairfax Avenue,,,TRUE,,+1 323-937-3930,4.3,2400,Los Angeles
1224 Beverwil Drive,,,TRUE,,+1 310-277-2800,4.3,528,Los Angeles
1800 Argyle Avenue,,,TRUE,,+1 213-279-3532,4.3,3840,Los Angeles
251 South Olive Street,,,TRUE,,+1 213-617-3300,4.3,304,Los Angeles
300 Doheny Drive,,,TRUE,,+1 310-273-2222,4.3,480,Los Angeles
330 Charles E Young Drive East,,,TRUE,,+1 310-825-2923,4.3,1980,Los Angeles
1000 1st Avenue,,,TRUE,,+1 206-957-1000,4.5,1008,Seattle
1006 Spring Street,,,FALSE,,+1 206-583-6453,3.9,1050,Seattle
1016 Republican Street,,,FALSE,,+1 206-708-8200,4.1,1302,Seattle
1046 1st Avenue South,,,TRUE,,+1 206-204-9800,4.3,1368,Seattle
11 East 31st Street,,,TRUE,,+1 212-806-7000,4,352,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,4,114,New York
"11-01 43rd Avenue, Long Island City",,,TRUE,,+1 212-319-7000,4,2016,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.2,900,New York
1050 West Ball Road,,,TRUE,,+1 714-860-4660,4,648,Anaheim
1110 West Katella Avenue,,,TRUE,,+1 714-778-1880,4,372,Anaheim
1160 West Ball Road,,,TRUE,,+1 888-287-9400,4,1920,Anaheim
1166 West Katella Avenue,,,TRUE,,+1 714-774-7817,4,280,Anaheim
1176 West Katella Avenue,,,TRUE,,+1 714-776-0140,4,372,Anaheim
1240 South Walnut Street,,,TRUE,,+1 714-535-0300,4,1152,Anaheim
125 South Festival Drive,,,TRUE,,+1 714-974-8880,4,672,Anaheim
1380 South Harbor Boulevard,,,FALSE,,+1 714-776-6120,4,2415,Anaheim
1411 South Manchester Avenue,,,TRUE,,+1 714-844-2801,4,420,Anaheim
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,3.9,405,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,3.9,81,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,3.9,435,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,3.9,594,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,3.9,990,New York
109 West 45th Street,,,FALSE,,+1 212-730-9444,3.9,1560,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,3,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,3,2100,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,3,1248,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3,276,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,3,315,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,3,1890,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,3,1860,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,3,1485,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,3,528,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,3,1368,New York
5300 Grand Del Mar Court,,,TRUE,,+1 858-314-2000,4.7,3150,San Diego
550 J Street,,,TRUE,,+1 619-738-7000,4.7,3920,San Diego
610 Diamond Street,,,TRUE,,+1 800-344-3370,4.7,128,San Diego
"1 Rue Bayard, 75008",,,TRUE,,+33 1 53 75 62 62,3.7,1950,Paris
"1 Rue Daunou, 75002",,,TRUE,,+33 1 42 61 70 41,3.7,1500,Paris
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,3.7,680,Paris
"1-5 Passage Ruelle, 75018",,,TRUE,,+33 1 42 05 20 00,3.7,1800,Paris
"1-7 Rue Jean Richepin, 75016",,,FALSE,,+33 1 44 30 10 00,3.7,1260,Paris
"10 Place Charles Dullin, 75018",,,TRUE,,+33 1 42 57 14 55,3.7,540,Paris
"10 Place de Mexico, 75116",,,TRUE,,+33 1 56 90 40 04,3.7,2576,Paris
"10 Rue de Passy, 75016",,,TRUE,,+33 1 45 25 55 66,3.7,528,Paris
"10 Rue du Champ de Mars, 75007",,,TRUE,,+33 1 40 62 67 00,3.7,304,Paris
"10 Rue du Conservatoire, 75009",,,TRUE,,+33 1 47 70 50 83,3.7,2304,Paris
1 Ham Yard,,,TRUE,,+44 20 3642 2000,4.4,1000,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.4,756,London
1 Suffolk Place,,,TRUE,,+44 20 7470 4000,4.4,870,London
1 Waterview Drive,,,TRUE,,+44 20 8463 6868,4.4,276,London
"1-2, Serjeant's Inn",,,TRUE,,+44 20 3004 4141,4.4,1680,London
10 Berners Street,,,TRUE,,+44 20 7781 0000,4.4,3500,London
10 Harrington Road,,,TRUE,,+44 20 7589 5895,4.4,2040,London
10 Palace Place,,,TRUE,,+44 20 3540 8800,4.4,3120,London
10 Trinity Square,,,TRUE,,+44 20 3297 9200,4.4,2375,London
100 Vauxhall Walk,,,TRUE,,+44 20 3096 1555,4.4,480,London
120 West 41st Street,,,TRUE,,+1 212-730-0099,4.6,928,New York
130 West 44th Street,,,TRUE,,+1 212-764-6200,4.6,2325,New York
153 West 57th Street,,,FALSE,,+1 646-774-1234,4.6,2940,New York
18 West 56th Street,,,TRUE,,+1 212-586-5656,4.6,276,New York
189 Bowery,,,TRUE,,+1 212-372-7274,4.6,1575,New York
196 Grand Street,,,TRUE,,+1 212-390-8988,4.6,174,New York
218 West 50th Street,,,TRUE,,+1 212-461-3638,4.6,162,New York
233 West 49th Street,,,TRUE,,+1 212-245-4000,4.6,540,New York
27 Barclay Street,,,TRUE,,+1 646-880-1999,4.6,480,New York
28 West 53rd Street,,,TRUE,,+1 212-790-8800,4.6,1020,New York
1 Addington Street,,,TRUE,,+44 333 400 6116,4.1,1600,London
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,300,London
1 Ham Yard,,,TRUE,,+44 20 3642 2000,4.1,1000,London
1 King's Cross Road,,,TRUE,,+44 20 7833 3900,4.1,480,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.1,756,London
1 Suffolk Place,,,TRUE,,+44 20 7470 4000,4.1,870,London
1 Waterview Drive,,,TRUE,,+44 20 8463 6868,4.1,276,London
"1-15, Templeton Place",,,TRUE,,+44 20 7598 8700,4.1,936,London
"1-2, Serjeant's Inn",,,TRUE,,+44 20 3004 4141,4.1,1680,London
10 Berners Street,,,TRUE,,+44 20 7781 0000,4.1,3500,London
"Avenida Almirante Silvio de Noronha, 365 - Centro",,,TRUE,,+55 21 3478-4100,4.6,500,Rio de Janeiro
"Avenida Embaixador Abelardo Bueno, 1430",,,TRUE,,+55 21 3348-1000,4.7,1200,Rio de Janeiro
"Avenida Embaixador Abelardo Bueno, 1511 - Barra da Tijuca",,,TRUE,,+55 21 3478-4900,4.5,512,Rio de Janeiro
"Avenida Gilberto Amado, 41 - Barra da Tijuca",,,TRUE,,+55 21 3721-7500,4.4,522,Rio de Janeiro
"Avenida Gomes Freire, 530 - Centro",,,TRUE,,+55 21 2526-6600,4.4,396,Rio de Janeiro
"Avenida Nossa Senhora de Copacabana, 1284 - Copacabana",,,TRUE,,+55 21 3202-9450,4.3,792,Rio de Janeiro
"Avenida Nossa Senhora de Copacabana, 335 - Copacabana",,,TRUE,,+55 21 2195-5300,4.5,2940,Rio de Janeiro
"Avenida Nossa Senhora de Copacabana, 552 - Copacabana",,,FALSE,,+55 21 2132-1501,4.4,2560,Rio de Janeiro
"Avenida Nossa Senhora de Copacabana, 995 - Copacabana",,,TRUE,,+55 21 2125-0200,4.2,420,Rio de Janeiro
"Avenida Princesa Isabel, 263 - Copacabana",,,TRUE,,+55 21 2195-5500,4.4,1440,Rio de Janeiro
"Alt-Moabit 99, 10559",,,TRUE,,+49 30 399200,4.4,1680,Berlin
"Alt-Reinickendorf 4-5, 13407",,,TRUE,,+49 30 498830,3.6,580,Berlin
"Am Borsigturm 1, 13507",,,TRUE,,+49 30 43036000,4.3,480,Berlin
"Am Ostbahnhof 5, 10243",,,TRUE,,+49 30 293680,4.2,612,Berlin
"Fischerinsel 12, 10179",,,TRUE,,+49 30 206740,4.3,3248,Berlin
"Frankfurter Allee 57-59, 10247",,,TRUE,,+49 30 72022100,4,1575,Berlin
"Kronprinzendamm 1, 10711",,,FALSE,,+49 30 896030,3.9,640,Berlin
"Kurt-Schumacher-Damm 202, 13405",,,TRUE,,+49 30 41060,3.9,2320,Berlin
"Landsberger Allee 203, 13055",,,TRUE,,+49 30 978080,3.6,4032,Berlin
"Marlene-Dietrich-Platz 2, 10785",,,TRUE,,+49 30 25531234,4.6,1680,Berlin
1 South Franklin Street,,,FALSE,,+1 312-558-1020,4.4,189,Chicago
1 West Wacker Drive,,,TRUE,,+1 312-372-7200,4.5,1800,Chicago
10 East Grand Avenue,,,TRUE,,+1 312-595-0000,4.2,1170,Chicago
10000 West O'Hare Avenue,,,TRUE,,+1 773-686-8000,3.9,416,Chicago
105 East Delaware Place,,,TRUE,,+1 312-944-6300,4.1,580,Chicago
11 West 26th Street,,,FALSE,,+1 312-225-7000,4,684,Chicago
110 West Huron Street,,,TRUE,,+1 312-944-8000,4.5,465,Chicago
1100 South Michigan Avenue,,,FALSE,,+1 312-922-2900,3.9,84,Chicago
111 West Huron Street,,,TRUE,,+1 312-447-3440,3.8,3240,Chicago
1118 North State Street,,,TRUE,,+1 312-586-2000,4.7,1860,Chicago
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.3,1050,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.3,912,New York
"111 North 12th Street, Brooklyn",,,TRUE,,+1 718-631-8400,4.3,405,New York
114 East 32nd Street,,,TRUE,,+1 212-603-9000,4.3,2100,New York
120 East 39th Street,,,TRUE,,+1 212-686-1600,4.3,1120,New York
120 West 41st Street,,,TRUE,,+1 212-730-0099,4.3,928,New York
123 West 44th Street,,,TRUE,,+1 212-764-5700,4.3,1380,New York
124 East 28th Street,,,TRUE,,+1 212-448-0888,4.3,1116,New York
"125 Flatbush Avenue Extension, Brooklyn",,,TRUE,,+1 718-875-8800,4.3,72,New York
130 West 44th Street,,,TRUE,,+1 212-764-6200,4.3,2325,New York
100 Capitol Mall,,,TRUE,,+1 916-326-5000,4.4,252,Sacramento
1121 15th Street,,,TRUE,,+1 916-443-0500,4.4,648,Sacramento
1209 L Street,,,FALSE,,+1 916-443-1234,4.4,816,Sacramento
"13th And, J Street",,,TRUE,,+1 916-447-1700,4.3,116,Sacramento
1782 Tribute Road,,,TRUE,,+1 916-929-7900,4.2,1932,Sacramento
200 Jibboom Street,,,FALSE,,+1 916-448-8100,3.5,864,Sacramento
2001 Point West Way,,,TRUE,,+1 916-929-8855,4.1,690,Sacramento
2200 Harvard Street,,,TRUE,,+1 916-922-4700,4.2,1740,Sacramento
2540 Venture Oaks Way,,,TRUE,,+1 916-568-5400,4.3,315,Sacramento
300 J Street,,,TRUE,,+1 916-446-0100,4.1,1260,Sacramento
100 Capitol Mall,,,TRUE,,+1 916-326-5000,4.3,252,Sacramento
1121 15th Street,,,TRUE,,+1 916-443-0500,4.3,648,Sacramento
1209 L Street,,,FALSE,,+1 916-443-1234,4.3,816,Sacramento
4800 Riverside Boulevard,,,TRUE,,+1 916-443-8400,4.3,1320,Sacramento
500 J Street,,,TRUE,,+1 916-545-7100,4.3,3780,Sacramento
926 J Street,,,TRUE,,+1 916-447-2700,4.3,1056,Sacramento
"Avenida Almirante Silvio de Noronha, 365 - Centro",,,TRUE,,+55 21 3478-4100,4.2,500,Rio de Janeiro
"Avenida Embaixador Abelardo Bueno, 1430",,,TRUE,,+55 21 3348-1000,4.2,1200,Rio de Janeiro
