album,artist,genre,song_name,playback_device
Cloud Nine,Kygo,Downtempo,Carry Me,kitchen speaker
Blues Of Desperation,Joe Bonamassa,Blues,Drive,bedroom speaker
Free Spirit,Khalid,Pop,Better,TV
Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,bedroom speaker
Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,TV
Nine Track Mind,Charlie Puth,Pop,Dangerously,TV
Slow Air,Still Corners,Pop,The Message,kitchen speaker
Charice,Jake Zyrus,Pop,Pyramid,
The New Classic,Iggy Azalea,Pop,Black Widow,bedroom speaker
Elevate,Big Time Rush,Pop,Windows Down,TV
Southeastern,Jason Isbell,Alternative Country,Cover Me Up,bedroom speaker
Brave Enough,Lindsey Stirling,House,Lost Girls,bedroom speaker
If I Know Me,Morgan Wallen,Country,Up Down,kitchen speaker
Arcadia,Eurielle,Pop,Hate Me,kitchen speaker
The Martin Garrix Experience,Martin Garrix,House,No Sleep,bedroom speaker
Ultraviolence,Lana Del Rey,Rock,Pretty When You Cry,TV
Handwritten,Shawn Mendes,Pop,Never Be Alone,TV
Borbena,Teodora,Folk,Tom Ford,bedroom speaker
Slow Air,Still Corners,Pop,Black Lagoon,kitchen speaker
Dangerous Woman,Ariana Grande,Pop,Be Alright,TV
