destination,number_of_seats,ride_fare,ride_type,wait_time
Amba Hotel Charing Cross,1,6.74,Pool,3
Studio C Artists,3,35.75,Regular,7
The Foundry,3,29.81,Regular,6
Amba Hotel Charing Cross,3,32.23,Luxury,12
PRIDE ARTS CENTER,2,23.72,Luxury,7
12th Avenue Arts,1,11.91,Regular,7
The Observatory North Park,2,23.63,Luxury,9
12th Avenue Arts,3,37.67,Regular,3
Theatre Arts Admin Collective,1,30.76,Luxury,13
520 8th Ave. - Personal Valet Parking,2,24.82,Pool,7
Rainbow Lagoon Park,1,12.89,Pool,9
Amba Hotel Charing Cross,2,20.83,Regular,6
Talent to aMuse Theatre Co,3,27.99,Luxury,12
Amba Hotel Charing Cross,1,34.05,Luxury,10
Mojo Theatre,2,25.47,Regular,7
Kaufmann Concert Hall,4,29.60,Pool,3
The Artistic Home,1,12.57,Regular,6
NEST,3,45.38,Luxury,7
The Artistic Home,4,31.48,Regular,7
