airlines,departure_date,destination,destination_airport,fare,is_redeye,number_stops,origin,origin_airport,outbound_arrival_time,outbound_departure_time,passengers,seating_class,inbound_arrival_time,inbound_departure_time,return_date
Delta Airlines,2019-03-05,Los Angeles,LAX International Airport,222,True,0,New York,JFK International Airport,10:40,07:30,3,Economy,08:05,22:55,2019-03-14
Southwest Airlines,2019-03-05,Los Angeles,LAX International Airport,246,False,1,New York,JFK International Airport,10:00,06:50,3,Economy,18:34,07:20,2019-03-14
United Airlines,2019-03-05,Los Angeles,LAX International Airport,263,True,1,New York,JFK International Airport,19:57,14:40,3,Economy,05:25,20:15,2019-03-14
American Airlines,2019-03-01,San Francisco,SFO International Airport,233,True,1,Atlanta,Hartsfield-Jackson International Airport,14:06,11:40,1,Economy,01:24,15:50,2019-03-13
Delta Airlines,2019-03-01,San Francisco,SFO International Airport,189,True,0,Atlanta,Hartsfield-Jackson International Airport,15:16,12:50,1,Economy,01:51,17:25,2019-03-13
Southwest Airlines,2019-03-01,San Francisco,SFO International Airport,241,False,1,Atlanta,Hartsfield-Jackson International Airport,08:56,06:30,1,Economy,17:19,07:10,2019-03-13
United Airlines,2019-03-01,San Francisco,SFO International Airport,182,False,0,Atlanta,Hartsfield-Jackson International Airport,12:06,09:40,1,Economy,18:41,10:15,2019-03-13
American Airlines,2019-03-06,San Diego,SAN International Airport,69,False,0,Los Angeles,LAX International Airport,08:14,07:20,1,Economy,20:24,19:30,2019-03-09
United Airlines,2019-03-05,Sydney,Kingsford Smith International Airport,238,True,0,San Francisco,SFO International Airport,13:06,13:25,1,Economy,-5:06,05:25,2019-03-07
United Airlines,2019-03-05,Delhi,Indira Gandhi International Airport,597,True,1,Atlanta,Hartsfield-Jackson International Airport,09:04,06:50,1,Premium Economy,17:57,12:35,2019-03-07
American Airlines,2019-03-01,Chicago,O'Hare International Airport,250,True,1,Los Angeles,LAX International Airport,00:37,15:05,1,Economy,07:02,04:30,2019-03-04
Delta Airlines,2019-03-01,Chicago,O'Hare International Airport,183,True,0,Los Angeles,LAX International Airport,01:47,19:15,1,Economy,19:57,17:25,2019-03-04
Southwest Airlines,2019-03-01,Chicago,O'Hare International Airport,238,False,1,Los Angeles,LAX International Airport,13:52,07:20,1,Economy,12:45,06:45,2019-03-04
American Airlines,2019-03-05,San Diego,SAN International Airport,62,False,0,Los Angeles,LAX International Airport,08:14,07:20,1,Economy,10:44,09:50,2019-03-13
American Airlines,2019-03-01,Nairobi,Jomo Kenyatta International Airport,383,True,1,Philadelphia,PHL International Airport,17:57,16:45,1,Economy,19:46,05:35,2019-03-07
American Airlines,2019-03-01,Kuala Lumpur,KLIA International Airport,429,True,1,San Francisco,SFO International Airport,17:08,05:20,1,Economy,09:56,05:05,2019-03-13
American Airlines,2019-03-01,Delhi,Indira Gandhi International Airport,342,True,1,San Francisco,SFO International Airport,16:07,13:15,1,Economy,16:57,13:45,2019-03-13
United Airlines,2019-03-01,Delhi,Indira Gandhi International Airport,354,True,1,San Francisco,SFO International Airport,20:39,11:55,1,Economy,07:55,01:10,2019-03-13
United Airlines,2019-03-01,Delhi,Indira Gandhi International Airport,394,True,1,Seattle,Seattle-Tacoma International Airport,20:39,12:30,1,Economy,09:37,01:10,2019-03-13
Delta Airlines,2019-03-01,Toronto,Toronto Pearson International Airport,209,False,1,Atlanta,Hartsfield-Jackson International Airport,17:08,07:50,1,Economy,11:31,07:15,2019-03-05
United Airlines,2019-03-04,Toronto,Toronto Pearson International Airport,237,False,1,Atlanta,Hartsfield-Jackson International Airport,12:33,06:15,1,Economy,23:41,17:35,2019-03-08
American Airlines,2019-03-01,Nairobi,Jomo Kenyatta International Airport,555,True,1,Philadelphia,PHL International Airport,17:57,16:45,1,Premium Economy,19:46,05:35,2019-03-05
American Airlines,2019-03-08,London,Heathrow International Airport,336,True,1,Philadelphia,PHL International Airport,03:14,10:10,3,Economy,00:16,14:05,2019-03-14
Delta Airlines,2019-03-08,London,Heathrow International Airport,371,True,1,Philadelphia,PHL International Airport,10:14,14:20,3,Economy,21:06,08:00,2019-03-14
United Airlines,2019-03-08,London,Heathrow International Airport,307,True,1,Philadelphia,PHL International Airport,03:14,11:30,3,Economy,10:56,00:25,2019-03-14
American Airlines,2019-03-04,London,Heathrow International Airport,349,True,1,Atlanta,Hartsfield-Jackson International Airport,18:14,15:30,1,Economy,02:39,20:35,2019-03-09
Delta Airlines,2019-03-04,London,Heathrow International Airport,308,True,1,Atlanta,Hartsfield-Jackson International Airport,07:34,17:30,1,Economy,20:21,08:00,2019-03-09
United Airlines,2019-03-04,London,Heathrow International Airport,253,True,0,Atlanta,Hartsfield-Jackson International Airport,00:34,10:30,1,Economy,04:29,22:25,2019-03-09
Delta Airlines,2019-03-07,Vancouver,YVR International Airport,226,False,1,Las Vegas,McCarran International Airport,19:49,12:20,1,Economy,09:15,03:20,2019-03-13
American Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,475,False,1,San Francisco,SFO International Airport,20:28,07:05,1,Premium Economy,09:52,05:55,2019-03-06
American Airlines,2019-03-02,Portland,PDX International Airport,294,True,1,Mexico City,Benito Juarez International Airport,01:45,19:25,1,Economy,18:53,07:20,2019-03-08
American Airlines,2019-03-06,Toronto,Toronto Pearson International Airport,286,False,1,San Francisco,SFO International Airport,20:28,07:05,1,Economy,14:22,10:05,2019-03-10
American Airlines,2019-03-06,Toronto,Toronto Pearson International Airport,282,False,1,San Francisco,SFO International Airport,20:28,07:05,1,Economy,14:22,10:05,2019-03-12
United Airlines,2019-03-06,Toronto,Toronto Pearson International Airport,298,False,1,San Francisco,SFO International Airport,18:58,05:35,1,Economy,21:12,17:35,2019-03-12
Alaska Airlines,2019-03-05,San Diego,SAN International Airport,70,False,0,Los Angeles,LAX International Airport,08:24,07:30,1,Economy,,,
American Airlines,2019-03-05,San Diego,SAN International Airport,73,False,0,Los Angeles,LAX International Airport,08:34,07:40,1,Economy,,,
Southwest Airlines,2019-03-05,San Diego,SAN International Airport,55,False,0,Los Angeles,LAX International Airport,16:19,15:25,1,Economy,,,
United Airlines,2019-03-05,San Diego,SAN International Airport,70,False,0,Los Angeles,LAX International Airport,12:34,11:40,1,Economy,,,
Alaska Airlines,2019-03-02,San Diego,SAN International Airport,59,False,0,Los Angeles,LAX International Airport,08:24,07:30,1,Economy,,,
Delta Airlines,2019-03-04,Las Vegas,McCarran International Airport,74,False,0,Los Angeles,LAX International Airport,23:25,22:15,2,Economy,,,
Alaska Airlines,2019-03-08,San Diego,SAN International Airport,99,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
American Airlines,2019-03-08,San Diego,SAN International Airport,161,False,1,San Francisco,SFO International Airport,16:19,12:15,1,Economy,,,
Delta Airlines,2019-03-08,San Diego,SAN International Airport,106,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
Southwest Airlines,2019-03-08,San Diego,SAN International Airport,103,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
United Airlines,2019-03-08,San Diego,SAN International Airport,90,False,0,San Francisco,SFO International Airport,08:20,06:40,1,Economy,,,
American Airlines,2019-03-09,New York,JFK International Airport,100,False,0,Washington,Dulles International Airport,07:15,06:05,1,Economy,,,
Southwest Airlines,2019-03-09,New York,JFK International Airport,80,False,0,Washington,Dulles International Airport,18:55,17:45,1,Economy,,,
American Airlines,2019-03-05,Philadelphia,PHL International Airport,127,False,1,Washington,Dulles International Airport,11:36,08:00,1,Economy,,,
Southwest Airlines,2019-03-05,Philadelphia,PHL International Airport,126,False,1,Washington,Dulles International Airport,20:31,17:45,1,Economy,,,
United Airlines,2019-03-05,Philadelphia,PHL International Airport,228,True,1,Washington,Dulles International Airport,00:51,20:40,1,Economy,,,
American Airlines,2019-03-13,Las Vegas,McCarran International Airport,93,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Economy,,,
Delta Airlines,2019-03-13,Las Vegas,McCarran International Airport,87,False,0,Los Angeles,LAX International Airport,23:25,22:15,1,Economy,,,
Southwest Airlines,2019-03-13,Las Vegas,McCarran International Airport,140,False,1,Los Angeles,LAX International Airport,15:34,13:00,1,Economy,,,
United Airlines,2019-03-13,Las Vegas,McCarran International Airport,80,False,0,Los Angeles,LAX International Airport,09:15,08:05,1,Economy,,,
Air Canada,2019-03-07,Seattle,Seattle-Tacoma International Airport,280,True,1,Vancouver,YVR International Airport,02:32,16:45,1,Economy,,,
Delta Airlines,2019-03-07,Seattle,Seattle-Tacoma International Airport,348,False,1,Vancouver,YVR International Airport,12:15,02:50,1,Economy,,,
United Airlines,2019-03-07,Seattle,Seattle-Tacoma International Airport,255,False,1,Vancouver,YVR International Airport,22:56,18:05,1,Economy,,,
American Airlines,2019-03-01,New York,JFK International Airport,67,False,0,Philadelphia,PHL International Airport,17:36,16:45,1,Economy,,,
Delta Airlines,2019-03-01,New York,JFK International Airport,58,False,0,Philadelphia,PHL International Airport,17:31,16:40,1,Economy,,,
Southwest Airlines,2019-03-01,New York,JFK International Airport,61,False,0,Philadelphia,PHL International Airport,08:36,07:45,1,Economy,,,
United Airlines,2019-03-01,New York,JFK International Airport,64,False,0,Philadelphia,PHL International Airport,13:46,12:55,1,Economy,,,
Alaska Airlines,2019-03-03,Las Vegas,McCarran International Airport,96,False,0,San Francisco,SFO International Airport,07:40,06:05,1,Economy,,,
American Airlines,2019-03-03,Las Vegas,McCarran International Airport,163,False,1,San Francisco,SFO International Airport,15:25,12:15,1,Economy,,,
Delta Airlines,2019-03-03,Las Vegas,McCarran International Airport,114,False,0,San Francisco,SFO International Airport,22:40,21:05,1,Economy,,,
United Airlines,2019-03-03,Las Vegas,McCarran International Airport,106,False,0,San Francisco,SFO International Airport,20:50,19:15,1,Economy,,,
Alaska Airlines,2019-03-03,Las Vegas,McCarran International Airport,96,False,0,San Francisco,SFO International Airport,07:40,06:05,4,Economy,,,
American Airlines,2019-03-03,Las Vegas,McCarran International Airport,163,False,1,San Francisco,SFO International Airport,15:25,12:15,4,Economy,,,
Delta Airlines,2019-03-03,Las Vegas,McCarran International Airport,114,False,0,San Francisco,SFO International Airport,22:40,21:05,4,Economy,,,
American Airlines,2019-03-04,Los Angeles,LAX International Airport,88,False,0,Las Vegas,McCarran International Airport,10:40,09:30,1,Economy,,,
Delta Airlines,2019-03-04,Los Angeles,LAX International Airport,88,False,0,Las Vegas,McCarran International Airport,22:10,21:00,1,Economy,,,
Southwest Airlines,2019-03-04,Los Angeles,LAX International Airport,85,False,0,Las Vegas,McCarran International Airport,15:45,14:35,1,Economy,,,
United Airlines,2019-03-04,Los Angeles,LAX International Airport,96,False,0,Las Vegas,McCarran International Airport,09:25,08:15,1,Economy,,,
Southwest Airlines,2019-03-10,San Diego,SAN International Airport,111,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
American Airlines,2019-03-10,San Diego,SAN International Airport,134,False,0,Las Vegas,McCarran International Airport,09:34,08:20,1,Premium Economy,,,
Alaska Airlines,2019-03-09,San Diego,SAN International Airport,122,False,0,San Francisco,SFO International Airport,12:25,10:45,1,Economy,,,
American Airlines,2019-03-09,San Diego,SAN International Airport,183,False,1,San Francisco,SFO International Airport,21:04,17:30,1,Economy,,,
Delta Airlines,2019-03-09,San Diego,SAN International Airport,104,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
Southwest Airlines,2019-03-09,San Diego,SAN International Airport,118,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
United Airlines,2019-03-09,San Diego,SAN International Airport,103,False,0,San Francisco,SFO International Airport,23:15,21:35,1,Economy,,,
Air Canada,2019-03-10,Las Vegas,McCarran International Airport,221,False,1,Vancouver,YVR International Airport,21:35,16:45,1,Economy,,,
Delta Airlines,2019-03-10,Las Vegas,McCarran International Airport,199,False,1,Vancouver,YVR International Airport,21:35,12:55,1,Economy,,,
United Airlines,2019-03-10,Las Vegas,McCarran International Airport,232,False,1,Vancouver,YVR International Airport,22:40,18:05,1,Economy,,,
Southwest Airlines,2019-03-10,Las Vegas,McCarran International Airport,89,False,0,San Diego,SAN International Airport,19:59,18:45,1,Economy,,,
Alaska Airlines,2019-03-13,San Francisco,SFO International Airport,107,False,0,Los Angeles,LAX International Airport,19:15,17:50,1,Economy,,,
American Airlines,2019-03-13,San Francisco,SFO International Airport,96,False,0,Los Angeles,LAX International Airport,07:55,06:30,1,Economy,,,
Delta Airlines,2019-03-13,San Francisco,SFO International Airport,93,False,0,Los Angeles,LAX International Airport,10:40,09:15,1,Economy,,,
Southwest Airlines,2019-03-13,San Francisco,SFO International Airport,109,False,0,Los Angeles,LAX International Airport,23:45,22:20,1,Economy,,,
United Airlines,2019-03-13,San Francisco,SFO International Airport,176,False,1,Los Angeles,LAX International Airport,11:30,08:05,1,Economy,,,
American Airlines,2019-03-03,San Francisco,SFO International Airport,96,False,0,Las Vegas,McCarran International Airport,12:30,10:55,1,Economy,,,
Delta Airlines,2019-03-03,San Francisco,SFO International Airport,97,True,0,Las Vegas,McCarran International Airport,00:25,22:50,1,Economy,,,
Southwest Airlines,2019-03-03,San Francisco,SFO International Airport,177,False,1,Las Vegas,McCarran International Airport,18:15,14:35,1,Economy,,,
United Airlines,2019-03-03,San Francisco,SFO International Airport,103,False,0,Las Vegas,McCarran International Airport,19:05,17:30,1,Economy,,,
Alaska Airlines,2019-03-07,Las Vegas,McCarran International Airport,106,False,0,San Francisco,SFO International Airport,21:50,20:15,1,Economy,,,
American Airlines,2019-03-07,Las Vegas,McCarran International Airport,112,False,0,San Francisco,SFO International Airport,19:05,17:30,1,Economy,,,
Delta Airlines,2019-03-07,Las Vegas,McCarran International Airport,114,False,0,San Francisco,SFO International Airport,12:25,10:50,1,Economy,,,
United Airlines,2019-03-07,Las Vegas,McCarran International Airport,115,False,0,San Francisco,SFO International Airport,20:50,19:15,1,Economy,,,
American Airlines,2019-03-01,New York,JFK International Airport,90,False,0,Washington,Dulles International Airport,07:15,06:05,1,Economy,,,
Southwest Airlines,2019-03-01,New York,JFK International Airport,70,False,0,Washington,Dulles International Airport,18:00,16:50,1,Economy,,,
United Airlines,2019-03-13,Portland,PDX International Airport,74,False,0,Seattle,Seattle-Tacoma International Airport,05:13,04:15,4,Economy,,,
Alaska Airlines,2019-03-13,Las Vegas,McCarran International Airport,106,False,0,San Francisco,SFO International Airport,21:50,20:15,1,Economy,,,
American Airlines,2019-03-13,Las Vegas,McCarran International Airport,104,False,0,San Francisco,SFO International Airport,19:05,17:30,1,Economy,,,
Delta Airlines,2019-03-13,Las Vegas,McCarran International Airport,100,False,0,San Francisco,SFO International Airport,12:25,10:50,1,Economy,,,
United Airlines,2019-03-13,Las Vegas,McCarran International Airport,102,False,0,San Francisco,SFO International Airport,20:50,19:15,1,Economy,,,
Southwest Airlines,2019-03-07,Los Angeles,LAX International Airport,91,False,0,San Francisco,SFO International Airport,14:15,12:50,1,Economy,,,
Alaska Airlines,2019-03-11,San Diego,SAN International Airport,115,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
American Airlines,2019-03-11,San Diego,SAN International Airport,157,False,1,San Francisco,SFO International Airport,16:19,12:15,1,Economy,,,
Delta Airlines,2019-03-11,San Diego,SAN International Airport,107,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
Southwest Airlines,2019-03-11,San Diego,SAN International Airport,102,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
United Airlines,2019-03-11,San Diego,SAN International Airport,105,False,0,San Francisco,SFO International Airport,23:15,21:35,1,Economy,,,
American Airlines,2019-03-09,Washington,Dulles International Airport,85,False,0,New York,JFK International Airport,12:05,10:55,1,Economy,,,
Delta Airlines,2019-03-09,Washington,Dulles International Airport,89,False,0,New York,JFK International Airport,08:30,07:20,1,Economy,,,
Southwest Airlines,2019-03-09,Washington,Dulles International Airport,86,False,0,New York,JFK International Airport,19:05,17:55,1,Economy,,,
United Airlines,2019-03-09,Washington,Dulles International Airport,91,False,0,New York,JFK International Airport,06:20,05:10,1,Economy,,,
United Airlines,2019-03-05,Vancouver,YVR International Airport,252,False,1,Portland,PDX International Airport,20:12,10:35,1,Economy,,,
Delta Airlines,2019-03-03,Portland,PDX International Airport,252,False,1,Vancouver,YVR International Airport,19:00,12:20,1,Economy,,,
American Airlines,2019-03-08,Las Vegas,McCarran International Airport,93,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Economy,,,
Delta Airlines,2019-03-08,Las Vegas,McCarran International Airport,88,False,0,Los Angeles,LAX International Airport,23:25,22:15,1,Economy,,,
Southwest Airlines,2019-03-08,Las Vegas,McCarran International Airport,137,False,1,Los Angeles,LAX International Airport,15:34,13:00,1,Economy,,,
United Airlines,2019-03-08,Las Vegas,McCarran International Airport,90,False,0,Los Angeles,LAX International Airport,09:15,08:05,1,Economy,,,
American Airlines,2019-03-08,Las Vegas,McCarran International Airport,93,False,0,Los Angeles,LAX International Airport,21:35,20:25,4,Economy,,,
Delta Airlines,2019-03-08,Las Vegas,McCarran International Airport,88,False,0,Los Angeles,LAX International Airport,23:25,22:15,4,Economy,,,
Southwest Airlines,2019-03-08,Las Vegas,McCarran International Airport,137,False,1,Los Angeles,LAX International Airport,15:34,13:00,4,Economy,,,
United Airlines,2019-03-08,Las Vegas,McCarran International Airport,90,False,0,Los Angeles,LAX International Airport,09:15,08:05,4,Economy,,,
American Airlines,2019-03-02,Las Vegas,McCarran International Airport,83,False,0,San Diego,SAN International Airport,17:54,16:40,1,Economy,,,
Alaska Airlines,2019-03-11,Las Vegas,McCarran International Airport,133,False,0,Los Angeles,LAX International Airport,21:30,20:20,1,Premium Economy,,,
American Airlines,2019-03-11,Las Vegas,McCarran International Airport,139,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Premium Economy,,,
Delta Airlines,2019-03-11,Las Vegas,McCarran International Airport,129,False,0,Los Angeles,LAX International Airport,23:25,22:15,1,Premium Economy,,,
United Airlines,2019-03-11,Las Vegas,McCarran International Airport,132,False,0,Los Angeles,LAX International Airport,09:15,08:05,1,Premium Economy,,,
Delta Airlines,2019-03-10,Philadelphia,PHL International Airport,61,False,0,New York,JFK International Airport,12:01,11:10,1,Economy,,,
Alaska Airlines,2019-03-13,Las Vegas,McCarran International Airport,150,False,0,San Diego,SAN International Airport,07:44,06:30,1,Premium Economy,,,
American Airlines,2019-03-07,New York,JFK International Airport,64,False,0,Philadelphia,PHL International Airport,17:36,16:45,1,Economy,,,
United Airlines,2019-03-05,Vancouver,YVR International Airport,267,False,1,Seattle,Seattle-Tacoma International Airport,19:49,12:30,1,Economy,,,
Delta Airlines,2019-03-13,Portland,PDX International Airport,119,False,0,Seattle,Seattle-Tacoma International Airport,08:53,07:55,1,Premium Economy,,,
Alaska Airlines,2019-03-13,Los Angeles,LAX International Airport,107,False,0,San Francisco,SFO International Airport,20:35,19:10,1,Economy,,,
Alaska Airlines,2019-03-11,Los Angeles,LAX International Airport,119,False,0,San Diego,SAN International Airport,07:39,06:45,1,Premium Economy,,,
American Airlines,2019-03-11,Los Angeles,LAX International Airport,122,False,0,San Diego,SAN International Airport,10:44,09:50,1,Premium Economy,,,
Delta Airlines,2019-03-11,Los Angeles,LAX International Airport,105,False,0,San Diego,SAN International Airport,17:54,17:00,1,Premium Economy,,,
Alaska Airlines,2019-03-05,San Francisco,SFO International Airport,100,False,0,San Diego,SAN International Airport,12:50,11:10,1,Economy,,,
American Airlines,2019-03-05,San Francisco,SFO International Airport,110,False,0,San Diego,SAN International Airport,13:45,12:05,1,Economy,,,
Delta Airlines,2019-03-05,San Francisco,SFO International Airport,115,False,0,San Diego,SAN International Airport,21:35,19:55,1,Economy,,,
Southwest Airlines,2019-03-05,San Francisco,SFO International Airport,107,False,0,San Diego,SAN International Airport,08:40,07:00,1,Economy,,,
Alaska Airlines,2019-03-05,Los Angeles,LAX International Airport,102,False,0,San Francisco,SFO International Airport,21:45,20:20,1,Economy,,,
American Airlines,2019-03-05,Los Angeles,LAX International Airport,82,False,0,San Francisco,SFO International Airport,17:15,15:50,1,Economy,,,
Southwest Airlines,2019-03-05,Los Angeles,LAX International Airport,93,False,0,San Francisco,SFO International Airport,14:15,12:50,1,Economy,,,
United Airlines,2019-03-05,Los Angeles,LAX International Airport,87,False,0,San Francisco,SFO International Airport,10:40,09:15,1,Economy,,,
Alaska Airlines,2019-03-05,Los Angeles,LAX International Airport,171,False,0,San Francisco,SFO International Airport,20:35,19:10,1,Premium Economy,,,
American Airlines,2019-03-05,Los Angeles,LAX International Airport,145,False,0,San Francisco,SFO International Airport,17:15,15:50,1,Premium Economy,,,
Southwest Airlines,2019-03-05,Los Angeles,LAX International Airport,136,False,0,San Francisco,SFO International Airport,14:15,12:50,1,Premium Economy,,,
United Airlines,2019-03-05,Los Angeles,LAX International Airport,151,False,0,San Francisco,SFO International Airport,10:40,09:15,1,Premium Economy,,,
United Airlines,2019-03-14,Los Angeles,LAX International Airport,118,False,0,Las Vegas,McCarran International Airport,13:15,12:05,3,Premium Economy,,,
Air Canada,2019-03-11,Portland,PDX International Airport,254,True,1,Vancouver,YVR International Airport,01:45,16:45,2,Economy,,,
Delta Airlines,2019-03-11,Portland,PDX International Airport,247,False,1,Vancouver,YVR International Airport,20:10,12:20,2,Economy,,,
Air Canada,2019-03-06,Seattle,Seattle-Tacoma International Airport,278,True,1,Vancouver,YVR International Airport,02:32,16:45,2,Economy,,,
Alaska Airlines,2019-03-08,Los Angeles,LAX International Airport,85,False,0,San Francisco,SFO International Airport,20:35,19:10,3,Economy,,,
American Airlines,2019-03-08,Los Angeles,LAX International Airport,90,False,0,San Francisco,SFO International Airport,17:15,15:50,3,Economy,,,
Southwest Airlines,2019-03-08,Los Angeles,LAX International Airport,105,False,0,San Francisco,SFO International Airport,14:15,12:50,3,Economy,,,
United Airlines,2019-03-08,Los Angeles,LAX International Airport,93,False,0,San Francisco,SFO International Airport,23:30,22:05,3,Economy,,,
United Airlines,2019-03-07,San Francisco,SFO International Airport,101,False,0,Las Vegas,McCarran International Airport,16:40,15:05,1,Economy,,,
American Airlines,2019-03-06,Washington,Dulles International Airport,80,False,0,New York,JFK International Airport,07:15,06:05,4,Economy,,,
Delta Airlines,2019-03-06,Washington,Dulles International Airport,76,False,0,New York,JFK International Airport,08:30,07:20,4,Economy,,,
Southwest Airlines,2019-03-06,Washington,Dulles International Airport,88,False,0,New York,JFK International Airport,15:45,14:35,4,Economy,,,
United Airlines,2019-03-06,Washington,Dulles International Airport,72,False,0,New York,JFK International Airport,06:20,05:10,4,Economy,,,
American Airlines,2019-03-09,Washington,Dulles International Airport,153,False,0,New York,JFK International Airport,07:15,06:05,1,Premium Economy,,,
Southwest Airlines,2019-03-09,Washington,Dulles International Airport,139,False,0,New York,JFK International Airport,15:45,14:35,1,Premium Economy,,,
United Airlines,2019-03-09,Washington,Dulles International Airport,135,False,0,New York,JFK International Airport,06:20,05:10,1,Premium Economy,,,
United Airlines,2019-03-02,Washington,Dulles International Airport,126,False,0,New York,JFK International Airport,06:20,05:10,1,Premium Economy,,,
Alaska Airlines,2019-03-02,Los Angeles,LAX International Airport,100,False,0,San Francisco,SFO International Airport,21:45,20:20,1,Economy,,,
American Airlines,2019-03-02,Los Angeles,LAX International Airport,104,False,0,San Francisco,SFO International Airport,17:15,15:50,1,Economy,,,
Southwest Airlines,2019-03-02,Los Angeles,LAX International Airport,106,False,0,San Francisco,SFO International Airport,08:10,06:45,1,Economy,,,
United Airlines,2019-03-02,Los Angeles,LAX International Airport,99,False,0,San Francisco,SFO International Airport,23:30,22:05,1,Economy,,,
American Airlines,2019-03-14,New York,JFK International Airport,85,False,0,Washington,Dulles International Airport,07:15,06:05,1,Economy,,,
Southwest Airlines,2019-03-14,New York,JFK International Airport,103,False,0,Washington,Dulles International Airport,18:00,16:50,1,Economy,,,
Alaska Airlines,2019-03-05,Vancouver,YVR International Airport,291,False,1,Seattle,Seattle-Tacoma International Airport,23:44,15:45,2,Economy,,,
American Airlines,2019-03-05,Vancouver,YVR International Airport,272,False,1,Seattle,Seattle-Tacoma International Airport,19:49,08:15,2,Economy,,,
Delta Airlines,2019-03-05,Vancouver,YVR International Airport,280,False,1,Seattle,Seattle-Tacoma International Airport,19:49,08:45,2,Economy,,,
Southwest Airlines,2019-03-05,Vancouver,YVR International Airport,247,False,1,Seattle,Seattle-Tacoma International Airport,13:59,05:25,2,Economy,,,
United Airlines,2019-03-05,Vancouver,YVR International Airport,267,False,1,Seattle,Seattle-Tacoma International Airport,19:49,12:30,2,Economy,,,
Alaska Airlines,2019-03-11,Las Vegas,McCarran International Airport,78,False,0,San Diego,SAN International Airport,23:59,22:45,2,Economy,,,
American Airlines,2019-03-11,Las Vegas,McCarran International Airport,92,False,0,San Diego,SAN International Airport,17:54,16:40,2,Economy,,,
Southwest Airlines,2019-03-11,Las Vegas,McCarran International Airport,82,False,0,San Diego,SAN International Airport,21:39,20:25,2,Economy,,,
United Airlines,2019-03-11,Las Vegas,McCarran International Airport,91,False,0,San Diego,SAN International Airport,15:34,14:20,2,Economy,,,
American Airlines,2019-03-01,San Diego,SAN International Airport,78,False,0,Las Vegas,McCarran International Airport,09:34,08:20,1,Economy,,,
American Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,62,False,0,Portland,PDX International Airport,22:13,21:15,2,Economy,,,
Delta Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,72,False,0,Portland,PDX International Airport,10:33,09:35,2,Economy,,,
Southwest Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,70,False,0,Portland,PDX International Airport,05:38,04:40,2,Economy,,,
United Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,69,False,0,Portland,PDX International Airport,23:43,22:45,2,Economy,,,
Alaska Airlines,2019-03-14,Las Vegas,McCarran International Airport,79,False,0,San Diego,SAN International Airport,07:44,06:30,1,Economy,,,
American Airlines,2019-03-14,Las Vegas,McCarran International Airport,78,False,0,San Diego,SAN International Airport,17:54,16:40,1,Economy,,,
Southwest Airlines,2019-03-14,Las Vegas,McCarran International Airport,92,False,0,San Diego,SAN International Airport,21:39,20:25,1,Economy,,,
United Airlines,2019-03-14,Las Vegas,McCarran International Airport,100,False,0,San Diego,SAN International Airport,15:34,14:20,1,Economy,,,
Alaska Airlines,2019-03-03,Las Vegas,McCarran International Airport,86,False,0,San Diego,SAN International Airport,07:44,06:30,1,Economy,,,
Southwest Airlines,2019-03-03,Las Vegas,McCarran International Airport,82,False,0,San Diego,SAN International Airport,21:39,20:25,1,Economy,,,
Air Canada,2019-03-14,Seattle,Seattle-Tacoma International Airport,256,True,1,Vancouver,YVR International Airport,02:32,16:45,1,Economy,,,
Delta Airlines,2019-03-14,Seattle,Seattle-Tacoma International Airport,284,False,1,Vancouver,YVR International Airport,14:47,03:20,1,Economy,,,
United Airlines,2019-03-14,Seattle,Seattle-Tacoma International Airport,260,False,1,Vancouver,YVR International Airport,22:56,18:05,1,Economy,,,
American Airlines,2019-03-09,New York,JFK International Airport,100,False,0,Philadelphia,PHL International Airport,18:26,17:35,1,Premium Economy,,,
Alaska Airlines,2019-03-14,San Diego,SAN International Airport,107,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
American Airlines,2019-03-14,San Diego,SAN International Airport,156,False,1,San Francisco,SFO International Airport,16:19,12:15,1,Economy,,,
Delta Airlines,2019-03-14,San Diego,SAN International Airport,113,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
Southwest Airlines,2019-03-14,San Diego,SAN International Airport,106,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
United Airlines,2019-03-14,San Diego,SAN International Airport,100,False,0,San Francisco,SFO International Airport,08:20,06:40,1,Economy,,,
