address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
1000 Vin Scully Ave,,Los Angeles,3/9/2019,Dodger Stadium,Dodgers Vs Giants,,19:30,
1 AMB Drive Northwest,,Atlanta,3/7/2019,Mercedes-Benz Stadium,Falcons Vs Buccaneers,,20:00,
29 East Allen Street,,Philadelphia,3/7/2019,The Fillmore Philadelphia,Lauv,,20:30,
333 West 35th Street,,Chicago,3/13/2019,Guaranteed Rate Field,White Sox Vs Twins,,18:00,
3870 Montlake Boulevard Northeast,,Seattle,3/6/2019,Alaska Airlines Arena,Seattle Vs Atlanta,,18:30,
2901 East Hastings Street,,Vancouver,3/8/2019,PNE Amphitheatre,Billy Idol,,20:00,
Kennington Oval,,London,3/1/2019,The Oval,India Vs Australia,,18:30,
123-01 Roosevelt Avenue,,New York,3/13/2019,Citi Field,Mets Vs Diamondbacks,,20:00,
1695 Queen Street East,,Toronto,3/12/2019,Woodbine Park,Mac Demarco,,19:00,
2227 Piedmont Avenue,,Berkeley,3/6/2019,California Memorial Stadium,Golden Bears Vs Trojans,,18:00,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Cardinals,Baseball,18:30,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Dodgers,Baseball,20:30,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Giants,Baseball,19:30,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Marlins,Baseball,20:00,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Orioles,Baseball,20:30,
401 East Jefferson Street,Sports,Phoenix,3/9/2019,Chase Field,Diamondbacks Vs Rockies,Baseball,20:30,
"Brisbane, California 94005, United States",Music,Brisbane,3/1/2019,Brisbane Community Park,Star City Music Festival,Blues,18:00,
"Brisbane, California 94005, United States",,Brisbane,3/1/2019,Brisbane Community Park,Star City Music Festival,,18:00,
420 Mason Street,Music,San Francisco,3/3/2019,August Hall,Allan Rayman,Hip Hop,20:00,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/3/2019,Chase Center Experience,Celine Dion,Pop,18:00,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/3/2019,Chase Center Experience,Cher,Pop,19:30,
420 Mason Street,Music,San Francisco,3/3/2019,August Hall,Matt Corby,Christian,18:00,
777 Valencia Street,Music,San Francisco,3/3/2019,The Chapel,Okkervil River,Country,19:00,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/1/2019,Chase Center Experience,Celine Dion,Pop,18:30,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/1/2019,Chase Center Experience,Cher,Pop,20:30,
777 Valencia Street,Music,San Francisco,3/1/2019,The Chapel,Remo Drive,Pop,18:00,
1100 Valley House Drive,Music,Rohnert Park,3/5/2019,SOMO Village Event Center,Aaron Lewis,Country,20:30,
1100 Valley House Drive,,Rohnert Park,3/5/2019,SOMO Village Event Center,Aaron Lewis,,20:30,
7000 Coliseum Way,,Oakland,3/7/2019,Oakland-Alameda County Coliseum,Raiders Vs Bengals,,20:00,
2227 Piedmont Avenue,,Berkeley,3/9/2019,California Memorial Stadium,Golden Bears Vs Cougars,,18:00,
1030 Main Street,Music,Napa,3/8/2019,Blue Note Napa,Water Seed,Blues,19:30,
777 Valencia Street,Music,San Francisco,3/7/2019,The Chapel,Remo Drive,Pop,18:00,
420 Mason Street,Music,San Francisco,3/7/2019,August Hall,The Drums,Pop,18:30,
777 Valencia Street,,San Francisco,3/7/2019,The Chapel,Remo Drive,,18:00,
1030 Main Street,Music,Napa,3/5/2019,Blue Note Napa,Jon B,Blues,18:00,
1030 Main Street,Music,Napa,3/5/2019,Blue Note Napa,Roy Ayers,Jazz,20:30,
1030 Main Street,Music,Napa,3/5/2019,Blue Note Napa,Water Seed,Blues,18:30,
1030 Main Street,,Napa,3/5/2019,Blue Note Napa,Jon B,,18:00,
7000 Coliseum Way,Sports,Oakland,3/13/2019,Oakland-Alameda County Coliseum,Raiders Vs Lions,American Football,20:00,
7000 Coliseum Way,,Oakland,3/13/2019,Oakland-Alameda County Coliseum,Raiders Vs Jaguars,,19:00,
500 Terry A Francois Boulevard Suite 73,,San Francisco,3/1/2019,Chase Center Experience,Celine Dion,,18:30,
201 Van Ness Avenue,Music,San Francisco,3/4/2019,San Francisco Symphony,Carmina Burana,Classical,20:30,
777 Valencia Street,Music,San Francisco,3/4/2019,The Chapel,Remo Drive,Pop,20:00,
420 Mason Street,Music,San Francisco,3/4/2019,August Hall,The Drums,Pop,20:00,
777 Valencia Street,Music,San Francisco,3/4/2019,The Chapel,Thee Oh Sees,Rock,19:30,
420 Mason Street,,San Francisco,3/4/2019,August Hall,Matt Corby,,18:30,
24 Willie Mays Plaza,Sports,San Francisco,3/9/2019,Oracle Park,Giants Vs Dodgers,Baseball,18:30,
24 Willie Mays Plaza,Sports,San Francisco,3/9/2019,Oracle Park,Giants Vs Nationals,Baseball,20:00,
24 Willie Mays Plaza,Sports,San Francisco,3/11/2019,Oracle Park,Giants Vs Cardinals,Baseball,20:30,
24 Willie Mays Plaza,Sports,San Francisco,3/11/2019,Oracle Park,Giants Vs Diamondbacks,Baseball,19:00,
24 Willie Mays Plaza,,San Francisco,3/11/2019,Oracle Park,Giants Vs Cardinals,,18:30,
2367 Shattuck Avenue,,Berkeley,3/10/2019,Cornerstone Craft Beer & Live Music,Nattali Rize,,20:30,
24 Willie Mays Plaza,Sports,San Francisco,3/13/2019,Oracle Park,Giants Vs Diamondbacks,Baseball,20:00,
24 Willie Mays Plaza,Sports,San Francisco,3/13/2019,Oracle Park,Giants Vs Nationals,Baseball,19:30,
24 Willie Mays Plaza,Sports,San Francisco,3/13/2019,Oracle Park,Giants Vs Phillies,Baseball,19:30,
24 Willie Mays Plaza,Sports,San Francisco,3/13/2019,Oracle Park,Giants Vs Rockies,Baseball,18:00,
235 West 46th Street,Music,New York,3/14/2019,Sony Hall,Lyfe Jennings,Blues,18:00,
"141 Prospect Park West, Brooklyn",Music,New York,3/8/2019,Prospect Park Bandshell,Mac Demarco,Blues,20:00,
235 West 46th Street,Music,New York,3/6/2019,Sony Hall,Shanice,Blues,18:00,
235 West 46th Street,Music,New York,3/3/2019,Sony Hall,Vivian Green,Blues,19:30,
2367 Shattuck Avenue,Music,Berkeley,3/2/2019,Cornerstone Craft Beer & Live Music,Nattali Rize,Blues,19:30,
2227 Piedmont Avenue,Sports,Berkeley,3/12/2019,California Memorial Stadium,Golden Bears Vs Trojans,American Football,18:00,
420 Mason Street,Music,San Francisco,3/14/2019,August Hall,Electric Feels,Electronica,20:00,
420 Mason Street,Music,San Francisco,3/14/2019,August Hall,Matt Corby,Christian,19:30,
201 Van Ness Avenue,Music,San Francisco,3/14/2019,San Francisco Symphony,San Francisco Symphony,Classical,18:30,
777 Valencia Street,Music,San Francisco,3/14/2019,The Chapel,Thee Oh Sees,Rock,20:00,
420 Mason Street,,San Francisco,3/14/2019,August Hall,Matt Corby,,19:30,
2367 Shattuck Avenue,Music,Berkeley,3/6/2019,Cornerstone Craft Beer & Live Music,Chris Webby,Hip Hop,19:30,
2367 Shattuck Avenue,,Berkeley,3/6/2019,Cornerstone Craft Beer & Live Music,Phutureprimitive,,18:00,
7000 Coliseum Way,Sports,Oakland,3/8/2019,Oakland-Alameda County Coliseum,Raiders Vs Chiefs,American Football,20:00,
7000 Coliseum Way,Sports,Oakland,3/8/2019,Oakland-Alameda County Coliseum,Raiders Vs Lions,American Football,18:00,
7000 Coliseum Way,Sports,Oakland,3/8/2019,Oakland-Alameda County Coliseum,Raiders Vs Titans,American Football,19:00,
201 Van Ness Avenue,,San Francisco,3/4/2019,San Francisco Symphony,Carmina Burana,,20:30,
755 Hank Aaron Drive Southeast,,Atlanta,3/14/2019,Georgia State Stadium,Panthers Vs Paladins,,18:00,
3800 Montlake Boulevard Northeast,,Seattle,3/13/2019,Husky Stadium,Huskies Vs Warriors,,18:30,
3800 Montlake Boulevard Northeast,,Seattle,3/5/2019,Husky Stadium,Huskies Vs Utes,,18:30,
"56-15 Northern Boulevard, Woodside",,New York,3/6/2019,La Boom,Americo,,18:30,
1 Citizens Bank Way,Sports,Philadelphia,3/12/2019,Citizens Bank Park,Phillies Vs Braves,Baseball,20:00,
1 Citizens Bank Way,Sports,Philadelphia,3/12/2019,Citizens Bank Park,Phillies Vs Cubs,Baseball,19:30,
1 Citizens Bank Way,,Philadelphia,3/12/2019,Citizens Bank Park,Phillies Vs Braves,,20:00,
201 Van Ness Avenue,Music,San Francisco,3/10/2019,San Francisco Symphony,Carmina Burana,Classical,18:00,
420 Mason Street,Music,San Francisco,3/10/2019,August Hall,Matt Corby,Christian,18:30,
420 Mason Street,Music,San Francisco,3/10/2019,August Hall,The Drums,Pop,19:00,
420 Mason Street,,San Francisco,3/10/2019,August Hall,Matt Corby,,18:30,
1 AMB Drive Northwest,Sports,Atlanta,3/8/2019,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:00,
1 AMB Drive Northwest,Sports,Atlanta,3/8/2019,Mercedes-Benz Stadium,Falcons Vs Rams,American Football,19:30,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/8/2019,Georgia State Stadium,Panthers Vs Trojans,Basketball,18:30,
1 AMB Drive Northwest,Sports,Atlanta,3/8/2019,Mercedes-Benz Stadium,United Vs Red Bulls,Football,19:00,
1 AMB Drive Northwest,Sports,Atlanta,3/8/2019,Mercedes-Benz Stadium,United Vs United,Football,19:00,
177 North Avenue Northwest,Sports,Atlanta,3/8/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,18:00,
177 North Avenue Northwest,Sports,Atlanta,3/8/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,18:30,
24 Willie Mays Plaza,Sports,San Francisco,3/8/2019,Oracle Park,Giants Vs Rockies,Baseball,19:00,
24 Willie Mays Plaza,Sports,San Francisco,3/14/2019,Oracle Park,Giants Vs Diamondbacks,Baseball,20:00,
24 Willie Mays Plaza,Sports,San Francisco,3/14/2019,Oracle Park,Giants Vs Dodgers,Baseball,18:00,
24 Willie Mays Plaza,Sports,San Francisco,3/14/2019,Oracle Park,Giants Vs Marlins,Baseball,18:30,
24 Willie Mays Plaza,,San Francisco,3/14/2019,Oracle Park,Giants Vs Diamondbacks,,20:00,
2047 North Milwaukee Avenue,Music,Chicago,3/10/2019,Concord Music Hall,Basta,Pop,20:30,
3635 North Clark Street,Music,Chicago,3/10/2019,Gallagher Way,Billy Currington,Country,20:30,
2047 North Milwaukee Avenue,Music,Chicago,3/12/2019,Concord Music Hall,New Found Glory,Pop,19:00,
2033 West North Avenue,Music,Chicago,3/14/2019,Chop Shop,The Buttertones,Rock,20:00,
2047 North Milwaukee Avenue,Music,Chicago,3/14/2019,Concord Music Hall,Timmy Trumpet,Jazz,18:30,
2047 North Milwaukee Avenue,,Chicago,3/10/2019,Concord Music Hall,Basta,,20:30,
3911 Figueroa Street,Sports,Los Angeles,3/14/2019,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,19:00,
3911 Figueroa Street,Sports,Los Angeles,3/14/2019,LA Memorial Coliseum,Usc Vs Oregon,American Football,20:00,
3911 Figueroa Street,Sports,Los Angeles,3/14/2019,LA Memorial Coliseum,Usc Vs Ucla,American Football,19:30,
3911 Figueroa Street,,Los Angeles,3/14/2019,LA Memorial Coliseum,Usc Vs Oregon,,20:00,
1060 West Addison Street,,Chicago,3/4/2019,Wrigley Field,Cubs Vs Giants,,18:30,
1 Lincoln Financial Field Way,,Philadelphia,3/14/2019,Lincoln Financial Field,Eagles Vs Cowboys,,20:00,
1111 Southwest Broadway,Music,Portland,3/3/2019,Newmark Theatre,Erica Fernandez,Pop,18:30,
1111 Southwest Broadway,,Portland,3/3/2019,Newmark Theatre,Erica Fernandez,,18:30,
201 Van Ness Avenue,,San Francisco,3/10/2019,San Francisco Symphony,Carmina Burana,,18:00,
"261 Driggs Avenue, Brooklyn",Music,New York,3/5/2019,Warsaw,Russian Circles,Rock,18:30,
89 South Street,Music,New York,3/5/2019,Pier 17,Squeeze,Rock,19:00,
"261 Driggs Avenue, Brooklyn",,New York,3/5/2019,Warsaw,Russian Circles,,18:30,
Kennington Oval,,London,3/5/2019,The Oval,India Vs Australia,,18:00,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/9/2019,Lincoln Financial Field,Owls Vs Bison,American Football,20:30,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/9/2019,Lincoln Financial Field,Owls Vs Huskies,American Football,18:30,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/9/2019,Lincoln Financial Field,Owls Vs Terrapins,American Football,19:30,
1 Lincoln Financial Field Way,,Philadelphia,3/9/2019,Lincoln Financial Field,Owls Vs Huskies,,18:30,
2891 University Avenue,Music,San Diego,3/5/2019,The Observatory North Park,Fidlar,Rock,18:00,
2891 University Avenue,Music,San Diego,3/5/2019,The Observatory North Park,Psychedelic Furs,Rock,18:00,
2891 University Avenue,Music,San Diego,3/5/2019,The Observatory North Park,The Hives,Rock,18:30,
2891 University Avenue,Music,San Diego,3/5/2019,The Observatory North Park,The Struts,Rock,19:30,
1030 Main Street,Music,Napa,3/9/2019,Blue Note Napa,Jon B,Blues,18:00,
777 Valencia Street,,San Francisco,3/6/2019,The Chapel,Okkervil River,,18:00,
5500 Campanile Drive,Music,San Diego,3/13/2019,Cal Coast Credit Union Amphitheater,Bastille,Pop,18:00,
5500 Campanile Drive,Music,San Diego,3/13/2019,Cal Coast Credit Union Amphitheater,Sara Bareilles,Pop,18:00,
2891 University Avenue,Music,San Diego,3/13/2019,The Observatory North Park,Tuxedo,Pop,18:00,
2047 North Milwaukee Avenue,Music,Chicago,3/2/2019,Concord Music Hall,New Found Glory,Pop,20:30,
333 West 35th Street,Sports,Chicago,3/2/2019,Guaranteed Rate Field,White Sox Vs Yankees,Baseball,18:30,
2901 East Hastings Street,Music,Vancouver,3/11/2019,PNE Amphitheatre,Smokey Robinson,Blues,18:30,
2901 East Hastings Street,,Vancouver,3/11/2019,PNE Amphitheatre,Smokey Robinson,,18:30,
"1 Tennis Place, Forest Hills",Music,New York,3/3/2019,Forest Hills Stadium,Jojo Siwa,Pop,20:00,
"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,3/3/2019,BAM Howard Gilman Opera House,Madonna,Pop,20:00,
"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,3/3/2019,BAM Howard Gilman Opera House,Madonna Brooklyn,Pop,20:00,
2891 University Avenue,Music,San Diego,3/3/2019,The Observatory North Park,Tuxedo,Pop,19:00,
5500 Campanile Drive,Music,San Diego,3/3/2019,Cal Coast Credit Union Amphitheater,Vampire Weekend,Pop,19:30,
"56-15 Northern Boulevard, Woodside",Music,New York,3/8/2019,La Boom,Americo,International,20:00,
89 South Street,Music,New York,3/8/2019,Pier 17,Ben Harper,Blues,20:00,
"1 Tennis Place, Forest Hills",Music,New York,3/8/2019,Forest Hills Stadium,Chemical Brothers,Rock,18:30,
235 West 46th Street,Music,New York,3/8/2019,Sony Hall,Chris Botti,Jazz,18:30,
"64 North 9th Street, Brooklyn",Music,New York,3/8/2019,Rough Trade NYC,Crooked Colours,Electronica,19:30,
3608 33rd Street,Music,New York,3/8/2019,Melrose Ballroom,Esscalation Music Festival,Electronica,20:30,
61 West 62nd Street,Music,New York,3/8/2019,David Rubenstein Atrium at Lincoln Center,France Rocks Festival,International,18:00,
89 South Street,Music,New York,3/8/2019,Pier 17,Greensky Bluegrass,Blues,18:30,
"141 Prospect Park West, Brooklyn",Music,New York,3/8/2019,Prospect Park Bandshell,Jason Isbell,Country,19:30,
1030 Main Street,Music,Napa,3/11/2019,Blue Note Napa,Acoustic Alchemy,Jazz,18:00,
1030 Main Street,Music,Napa,3/3/2019,Blue Note Napa,Jon B,Blues,18:00,
1030 Main Street,Music,Napa,3/14/2019,Blue Note Napa,Mandy Harvey,Jazz,18:30,
1060 West Addison Street,Sports,Chicago,3/1/2019,Wrigley Field,Cubs Vs Giants,Baseball,18:00,
1060 West Addison Street,Sports,Chicago,3/1/2019,Wrigley Field,Cubs Vs Mariners,Baseball,19:30,
333 West 35th Street,Sports,Chicago,3/1/2019,Guaranteed Rate Field,White Sox Vs Indians,Baseball,19:00,
333 West 35th Street,Sports,Chicago,3/1/2019,Guaranteed Rate Field,White Sox Vs Rangers,Baseball,19:00,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/7/2019,Lincoln Financial Field,Eagles Vs Cowboys,American Football,20:00,
1 Lincoln Financial Field Way,Sports,Philadelphia,3/7/2019,Lincoln Financial Field,Owls Vs Yellow Jackets,American Football,19:30,
1 Citizens Bank Way,Sports,Philadelphia,3/7/2019,Citizens Bank Park,Phillies Vs Diamondbacks,Baseball,19:30,
1100 Valley House Drive,Music,Rohnert Park,3/13/2019,SOMO Village Event Center,Billy Currington,Country,18:30,
1100 Valley House Drive,Music,Rohnert Park,3/1/2019,SOMO Village Event Center,Billy Currington,Country,20:00,
1250 1st Avenue South,Sports,Seattle,3/8/2019,T-Mobile Park,Mariners Vs Blue Jays,Baseball,20:00,
1250 1st Avenue South,Sports,Seattle,3/8/2019,T-Mobile Park,Mariners Vs Rays,Baseball,20:30,
1250 1st Avenue South,Sports,Seattle,3/8/2019,T-Mobile Park,Seattle Vs La Angels,Baseball,18:30,
3800 Montlake Boulevard Northeast,Sports,Seattle,3/10/2019,Husky Stadium,Huskies Vs Warriors,Basketball,20:30,
1250 1st Avenue South,Sports,Seattle,3/10/2019,T-Mobile Park,Mariners Vs Rangers,Baseball,18:00,
1250 1st Avenue South,Sports,Seattle,3/10/2019,T-Mobile Park,Mariners Vs Rays,Baseball,18:30,
3870 Montlake Boulevard Northeast,Sports,Seattle,3/10/2019,Alaska Airlines Arena,Seattle Vs Minnesota,Basketball,19:30,
800 Occidental Avenue South,Sports,Seattle,3/10/2019,CenturyLink Field,Sounders Vs Revolution,Football,20:00,
5500 Phinney Avenue North,Music,Seattle,3/10/2019,Flamingo Lot,Cody Johnson,Country,20:30,
601 F Street Northwest,Sports,Washington D.C.,3/10/2019,Capital One Arena,Mystics Vs Sky,Basketball,20:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Brewers,Baseball,19:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Dodgers,Baseball,19:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Indians,Baseball,18:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Orioles,Baseball,18:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Reds,Baseball,18:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Rockies,Baseball,20:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/10/2019,Nationals Park,Nationals Vs Royals,Baseball,20:00,
1100 Oak Drive SE,Sports,Washington D.C.,3/10/2019,Entertainment & Sports Arena,Washington Vs Ny Liberty,Basketball,20:30,
1 Citizens Bank Way,Sports,Philadelphia,3/9/2019,Citizens Bank Park,Phillies Vs Braves,Baseball,20:30,
1 Citizens Bank Way,Sports,Philadelphia,3/9/2019,Citizens Bank Park,Phillies Vs Cubs,Baseball,19:00,
1 Citizens Bank Way,Sports,Philadelphia,3/9/2019,Citizens Bank Park,Phillies Vs Mets,Baseball,18:00,
1 Citizens Bank Way,Sports,Philadelphia,3/9/2019,Citizens Bank Park,Phillies Vs Padres,Baseball,20:00,
1 Citizens Bank Way,Sports,Philadelphia,3/9/2019,Citizens Bank Park,Phillies Vs White Sox,Baseball,20:00,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/5/2019,The Foundry,Girl In Red,Pop,18:00,
1200 Callowhill Street,Music,Philadelphia,3/5/2019,Underground Arts,Hot Water Music,Rock,18:30,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/5/2019,The Foundry,Lights,Electronica,19:00,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/5/2019,The Foundry,The Lemonheads,Rock,18:30,
777 Valencia Street,Music,San Francisco,3/12/2019,The Chapel,Thee Oh Sees,Rock,18:00,
2901 East Hastings Street,Music,Vancouver,3/14/2019,PNE Amphitheatre,Smokey Robinson,Blues,19:00,
625 Nelson Road,Sports,Stanford,3/5/2019,Stanford Stadium,Cardinal Vs Wildcats,American Football,19:00,
177 North Avenue Northwest,Sports,Atlanta,3/4/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulldogs,American Football,20:30,
177 North Avenue Northwest,Sports,Atlanta,3/9/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulls,American Football,18:00,
177 North Avenue Northwest,Sports,Atlanta,3/9/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,18:00,
"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,3/1/2019,Union Stage,Carbon Leaf,Blues,20:30,
"2700 F Street Northwest, Washington, District of Columbia 20566, United States",Music,Washington D.C.,3/1/2019,Family Theater,Freestyle Love Supreme,Hip Hop,18:00,
"33 Pearl Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,3/1/2019,Pearl Street Warehouse,Nicole Belanus Washington,Blues,19:30,
3800 Montlake Boulevard Northeast,Sports,Seattle,3/7/2019,Husky Stadium,Huskies Vs Warriors,Basketball,20:00,
800 Occidental Avenue South,Sports,Seattle,3/7/2019,CenturyLink Field,Seahawks Vs Cardinals,American Football,19:00,
3870 Montlake Boulevard Northeast,Sports,Seattle,3/7/2019,Alaska Airlines Arena,Seattle Vs Atlanta,Basketball,20:30,
3870 Montlake Boulevard Northeast,Sports,Seattle,3/7/2019,Alaska Airlines Arena,Seattle Vs Minnesota,Basketball,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/11/2019,Citi Field,Mets Vs Dodgers,Baseball,18:00,
123-01 Roosevelt Avenue,Sports,New York,3/11/2019,Citi Field,Mets Vs Indians,Baseball,18:00,
123-01 Roosevelt Avenue,Sports,New York,3/11/2019,Citi Field,Mets Vs Rockies,Baseball,20:00,
1 East 161 Street,Sports,New York,3/11/2019,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,18:30,
1 East 161 Street,Sports,New York,3/11/2019,Yankee Stadium,Nycfc Vs Red Bulls,Baseball,18:30,
1 East 161 Street,Sports,New York,3/11/2019,Yankee Stadium,Nycfc Vs United,Baseball,20:00,
1 East 161 Street,Sports,New York,3/11/2019,Yankee Stadium,Yankees Vs Blue Jays,Baseball,20:00,
1 East 161 Street,Sports,New York,3/11/2019,Yankee Stadium,Yankees Vs Diamondbacks,Baseball,19:00,
1 East 161 Street,Sports,New York,3/11/2019,Yankee Stadium,Yankees Vs Orioles,Baseball,20:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/2/2019,Dodger Stadium,Dodgers Vs Cubs,Baseball,20:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/2/2019,Dodger Stadium,Dodgers Vs Diamondbacks,Baseball,20:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/2/2019,Dodger Stadium,Dodgers Vs Marlins,Baseball,18:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/2/2019,Dodger Stadium,Dodgers Vs Rockies,Baseball,18:00,
800 Occidental Avenue South,Sports,Seattle,3/14/2019,CenturyLink Field,Sounders Vs Red Bulls,Football,18:00,
800 Occidental Avenue South,Sports,Seattle,3/14/2019,CenturyLink Field,Sounders Vs Timbers,Football,19:00,
29 East Allen Street,Music,Philadelphia,3/9/2019,The Fillmore Philadelphia,Blueface,Hip Hop,19:30,
29 East Allen Street,Music,Philadelphia,3/9/2019,The Fillmore Philadelphia,Conan Gray,Pop,18:30,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/9/2019,The Foundry,Girl In Red,Pop,18:00,
29 East Allen Street,Music,Philadelphia,3/9/2019,The Fillmore Philadelphia,Nav With Killy,Hip Hop,18:00,
1200 Callowhill Street,Music,Philadelphia,3/9/2019,Underground Arts,The Melvins,Rock,19:30,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/9/2019,The Foundry,Tuxedo,Pop,18:00,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/14/2019,The Foundry,Don Broco,Rock,19:00,
1200 Callowhill Street,Music,Philadelphia,3/14/2019,Underground Arts,The Melvins,Rock,19:30,
"1 Tennis Place, Forest Hills",Music,New York,3/3/2019,Forest Hills Stadium,Outlaw Music Festival,Country,20:30,
1100 Valley House Drive,Music,Rohnert Park,3/3/2019,SOMO Village Event Center,Billy Currington,Country,18:00,
5500 Phinney Avenue North,Music,Seattle,3/1/2019,Flamingo Lot,Cody Johnson,Country,18:30,
123-01 Roosevelt Avenue,Sports,New York,3/10/2019,Citi Field,Mets Vs Braves,Baseball,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/10/2019,Citi Field,Mets Vs Diamondbacks,Baseball,19:00,
123-01 Roosevelt Avenue,Sports,New York,3/10/2019,Citi Field,Mets Vs Dodgers,Baseball,20:30,
123-01 Roosevelt Avenue,Sports,New York,3/10/2019,Citi Field,Mets Vs Phillies,Baseball,18:00,
1 East 161 Street,Sports,New York,3/10/2019,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,20:30,
1 East 161 Street,Sports,New York,3/10/2019,Yankee Stadium,Nycfc Vs Sporting Kc,Baseball,19:30,
1 East 161 Street,Sports,New York,3/10/2019,Yankee Stadium,Nycfc Vs Union,Baseball,20:00,
1 East 161 Street,Sports,New York,3/10/2019,Yankee Stadium,Yankees Vs Orioles,Baseball,19:00,
1 East 161 Street,Sports,New York,3/10/2019,Yankee Stadium,Yankees Vs Rangers,Baseball,18:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/4/2019,Dodger Stadium,Dodgers Vs Cubs,Baseball,20:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/4/2019,Dodger Stadium,Dodgers Vs Diamondbacks,Baseball,18:30,
1000 Vin Scully Ave,Sports,Los Angeles,3/4/2019,Dodger Stadium,Dodgers Vs Giants,Baseball,20:00,
1111 South Figueroa Street,Sports,Los Angeles,3/4/2019,STAPLES Center,Sparks Vs Mystics,Basketball,18:30,
3911 Figueroa Street,Sports,Los Angeles,3/4/2019,LA Memorial Coliseum,Usc Vs Utah,American Football,20:30,
"104 N. Ave 56, 2nd Floor",Music,Los Angeles,3/4/2019,Lodge Room,Bill Callahan,Country,18:30,
1234 West 7th Street,Music,Los Angeles,3/4/2019,The Teragram Ballroom,Lights,Electronica,19:00,
1111 South Figueroa Street,Sports,Los Angeles,3/7/2019,STAPLES Center,Sparks Vs Mystics,Basketball,18:00,
1111 South Figueroa Street,Sports,Los Angeles,3/7/2019,STAPLES Center,Sparks Vs Storm,Basketball,18:00,
3911 Figueroa Street,Sports,Los Angeles,3/7/2019,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,20:30,
3911 Figueroa Street,Sports,Los Angeles,3/7/2019,LA Memorial Coliseum,Usc Vs Ucla,American Football,18:00,
89 South Street,Music,New York,3/10/2019,Pier 17,Blackbear,Hip Hop,18:00,
"1 Tennis Place, Forest Hills",Music,New York,3/10/2019,Forest Hills Stadium,Chemical Brothers,Rock,19:30,
235 West 46th Street,Music,New York,3/10/2019,Sony Hall,Chris Botti,Jazz,20:00,
